Cycle,Code,Role,Values
1,ISTP-A,Virtuoso,"[14, 34, 58, 28, 72]"
2,ISTP-A,Virtuoso,"[22, 34, 64, 35, 72]"
3,ISTP-A,Virtuoso,"[19, 34, 69, 28, 69]"
4,ISTP-A,Virtuoso,"[17, 34, 67, 19, 69]"
5,ISTP-A,Virtuoso,"[19, 31, 69, 31, 69]"
6,ISTP-A,Virtuoso,"[19, 31, 61, 28, 67]"
7,ISTP-A,Virtuoso,"[19, 34, 67, 31, 67]"
8,ISTP-A,Virtuoso,"[19, 31, 61, 19, 64]"
9,ISTP-A,Virtuoso,"[19, 34, 61, 22, 64]"
10,ISTP-A,Virtuoso,"[19, 34, 61, 25, 61]"
11,ISTP-A,Virtuoso,"[19, 31, 69, 25, 61]"
12,ISTP-A,Virtuoso,"[25, 36, 61, 31, 69]"
13,ISTP-A,Virtuoso,"[25, 34, 64, 31, 67]"
14,ISTP-A,Virtuoso,"[19, 34, 61, 19, 69]"
15,ISTP-A,Virtuoso,"[19, 32, 61, 33, 67]"
16,ISTP-A,Virtuoso,"[22, 34, 69, 25, 64]"
17,ISTP-A,Virtuoso,"[14, 31, 67, 25, 69]"
18,ISTP-A,Virtuoso,"[28, 34, 69, 33, 72]"
19,ISTP-A,Virtuoso,"[14, 34, 64, 31, 69]"
20,ISTP-A,Virtuoso,"[22, 34, 61, 31, 67]"
