Cycle,Code,Role,Values
1,ISTP-A,Virtuoso,"[49, 28, 78, 39, 69]"
2,ISTP-A,Virtuoso,"[44, 28, 81, 36, 72]"
3,ISTP-A,Virtuoso,"[42, 28, 78, 33, 69]"
4,ESTP-A,Entrepreneur,"[53, 28, 75, 36, 69]"
5,ISTP-A,Virtuoso,"[47, 28, 78, 42, 69]"
6,ESTP-A,Entrepreneur,"[56, 28, 78, 33, 69]"
7,ISTP-A,Virtuoso,"[44, 25, 78, 39, 69]"
8,ESTP-A,Entrepreneur,"[53, 28, 78, 36, 69]"
9,ISTP-A,Virtuoso,"[42, 28, 78, 33, 69]"
10,ESTP-A,Entrepreneur,"[58, 31, 75, 39, 69]"
11,ISTP-A,Virtuoso,"[49, 34, 78, 31, 72]"
12,ESTP-A,Entrepreneur,"[53, 28, 78, 36, 72]"
13,ESTP-A,Entrepreneur,"[67, 34, 78, 32, 69]"
1,ESTP-A,Entrepreneur,"[58, 28, 78, 40, 69]"
2,ESTP-A,Entrepreneur,"[58, 28, 78, 36, 69]"
3,ISTP-A,Virtuoso,"[42, 28, 78, 39, 69]"
4,ISTP-A,Virtuoso,"[42, 31, 78, 36, 72]"
5,ESTP-A,Entrepreneur,"[64, 28, 78, 36, 72]"
6,ISTP-A,Virtuoso,"[44, 28, 78, 36, 72]"
7,ESTP-A,Entrepreneur,"[67, 28, 78, 33, 75]"
8,ESTP-A,Entrepreneur,"[53, 28, 78, 39, 69]"
9,ESTP-A,Entrepreneur,"[53, 28, 78, 33, 75]"
10,ISTP-A,Virtuoso,"[44, 28, 78, 31, 72]"
11,ISTP-A,Virtuoso,"[49, 28, 78, 36, 69]"
12,ISTP-A,Virtuoso,"[49, 28, 78, 36, 69]"
13,ESTP-A,Entrepreneur,"[58, 28, 78, 36, 72]"
14,ESTP-A,Entrepreneur,"[53, 28, 78, 35, 72]"
15,ISTP-A,Virtuoso,"[47, 31, 78, 33, 69]"
16,ESTP-A,Entrepreneur,"[53, 28, 78, 33, 69]"
17,ISTP-A,Virtuoso,"[49, 28, 78, 36, 72]"
18,ESTP-A,Entrepreneur,"[58, 28, 78, 36, 69]"
19,ESTP-A,Entrepreneur,"[56, 28, 69, 31, 69]"
20,ESTP-A,Entrepreneur,"[53, 28, 78, 42, 69]"
