Cycle,Code,Role,Values
1,ISTP-A,Virtuoso,"[42, 31, 78, 49, 78]"
2,ISTP-A,Virtuoso,"[39, 31, 78, 49, 75]"
3,ISTP-A,Virtuoso,"[42, 31, 78, 44, 78]"
4,ISTP-A,Virtuoso,"[42, 28, 76, 44, 78]"
5,ISTP-A,Virtuoso,"[47, 28, 78, 44, 71]"
6,ISTP-A,Virtuoso,"[49, 28, 78, 42, 75]"
7,ISTP-A,Virtuoso,"[42, 28, 78, 42, 75]"
8,ESTP-A,Entrepreneur,"[53, 31, 76, 44, 78]"
9,ESTJ-A,Executive,"[56, 28, 78, 53, 81]"
10,ISTP-A,Virtuoso,"[44, 31, 78, 49, 75]"
11,ISTP-A,Virtuoso,"[39, 31, 86, 49, 78]"
12,ESTP-A,Entrepreneur,"[53, 28, 78, 42, 78]"
13,ISTP-A,Virtuoso,"[36, 28, 78, 44, 81]"
14,ISTP-A,Virtuoso,"[49, 31, 86, 42, 75]"
15,ISTP-A,Virtuoso,"[47, 28, 78, 44, 72]"
16,ISTP-A,Virtuoso,"[49, 28, 78, 47, 78]"
17,ISTP-A,Virtuoso,"[44, 25, 78, 44, 72]"
18,ISTP-A,Virtuoso,"[44, 28, 78, 42, 72]"
19,ISTP-A,Virtuoso,"[36, 31, 78, 47, 81]"
20,ISTP-A,Virtuoso,"[47, 28, 76, 47, 72]"
