Cycle,Code,Role,Values
1,ESTP-A,Entrepreneur,"[56, 36, 81, 31, 69]"
2,ESTP-A,Entrepreneur,"[58, 38, 85, 31, 75]"
3,ESTP-A,Entrepreneur,"[58, 31, 83, 28, 72]"
4,ESTP-A,Entrepreneur,"[69, 36, 83, 31, 75]"
5,ESTP-A,Entrepreneur,"[58, 42, 81, 29, 72]"
6,ESTP-A,Entrepreneur,"[64, 39, 76, 31, 75]"
7,ESTP-A,Entrepreneur,"[61, 39, 89, 31, 72]"
8,ESTP-A,Entrepreneur,"[58, 42, 89, 31, 69]"
9,ESTP-A,Entrepreneur,"[67, 34, 86, 25, 69]"
10,ESTP-A,Entrepreneur,"[58, 41, 78, 28, 72]"
11,ESTP-A,Entrepreneur,"[64, 39, 78, 28, 72]"
12,ESTP-A,Entrepreneur,"[56, 34, 78, 28, 69]"
13,ESTP-A,Entrepreneur,"[64, 34, 76, 28, 69]"
14,ESTP-A,Entrepreneur,"[61, 41, 78, 28, 72]"
15,ESTP-A,Entrepreneur,"[56, 41, 86, 31, 75]"
16,ESTP-A,Entrepreneur,"[56, 39, 81, 28, 72]"
17,ISTP-A,Virtuoso,"[47, 39, 83, 31, 72]"
18,ESTP-A,Entrepreneur,"[64, 42, 78, 31, 72]"
19,ESTP-A,Entrepreneur,"[67, 39, 76, 31, 69]"
20,ISTP-A,Virtuoso,"[47, 36, 79, 28, 69]"
