Cycle,Code,Role,Values
1,ESTP-A,Entrepreneur,"[56, 34, 81, 42, 75]"
2,ISTP-A,Virtuoso,"[33, 31, 83, 44, 71]"
3,ISTP-A,Virtuoso,"[42, 34, 86, 40, 79]"
4,ESTP-A,Entrepreneur,"[53, 36, 86, 44, 71]"
5,ISTP-A,Virtuoso,"[36, 36, 86, 47, 75]"
6,ISTP-A,Virtuoso,"[44, 36, 88, 39, 75]"
7,ISTP-A,Virtuoso,"[36, 36, 85, 44, 69]"
8,ISTP-A,Virtuoso,"[42, 31, 90, 36, 71]"
9,ESTP-A,Entrepreneur,"[53, 35, 89, 39, 72]"
10,ISTP-A,Virtuoso,"[39, 34, 90, 44, 72]"
11,ISTP-A,Virtuoso,"[39, 31, 82, 44, 75]"
12,ISTP-A,Virtuoso,"[47, 34, 83, 44, 72]"
13,ISTP-A,Virtuoso,"[44, 39, 90, 42, 75]"
14,ISTP-A,Virtuoso,"[44, 28, 90, 39, 72]"
15,ISTP-A,Virtuoso,"[49, 39, 85, 47, 71]"
16,ISTP-A,Virtuoso,"[47, 34, 90, 42, 72]"
17,ISTP-A,Virtuoso,"[44, 28, 86, 42, 75]"
18,ISTP-A,Virtuoso,"[36, 31, 85, 44, 75]"
19,ISTP-A,Virtuoso,"[49, 36, 85, 47, 76]"
20,ISTP-A,Virtuoso,"[44, 34, 86, 44, 74]"
