Cycle,Code,Role,Values
Cycle,Code,Role,Values
1,ESTP-A,Entrepreneur,"[64, 45, 67, 49, 81]"
2,ENTP-A,Debater,"[89, 51, 72, 39, 81]"
3,ESTP-A,Entrepreneur,"[89, 34, 78, 32, 82]"
4,ESTP-A,Entrepreneur,"[86, 42, 75, 40, 83]"
5,ESTP-A,Entrepreneur,"[89, 34, 69, 42, 83]"
6,ESTP-A,Entrepreneur,"[81, 47, 75, 42, 88]"
7,ESTP-A,Entrepreneur,"[72, 34, 75, 46, 83]"
8,ESTP-A,Entrepreneur,"[81, 38, 75, 35, 78]"
9,ESTP-A,Entrepreneur,"[81, 45, 83, 47, 85]"
10,ESTP-A,Entrepreneur,"[72, 47, 72, 46, 86]"
11,ESTP-A,Entrepreneur,"[81, 39, 72, 39, 81]"
12,ESTP-A,Entrepreneur,"[81, 39, 75, 40, 78]"
13,ESTP-A,Entrepreneur,"[89, 48, 69, 44, 83]"
14,ESTP-A,Entrepreneur,"[72, 45, 75, 44, 82]"
15,ESTP-A,Entrepreneur,"[89, 47, 78, 39, 86]"
16,ENTP-A,Debater,"[81, 51, 64, 39, 83]"
17,ESTP-A,Entrepreneur,"[89, 34, 72, 39, 78]"
18,ESTP-A,Entrepreneur,"[89, 47, 61, 47, 83]"
19,ESTP-A,Entrepreneur,"[81, 42, 63, 43, 86]"
20,ESTP-A,Entrepreneur,"[81, 43, 61, 44, 94]"
