Cycle,Code,Role,Values
Cycle,Code,Role,Values
1,ISTJ-A,Logistician,"[28, 28, 78, 53, 67]"
2,ISTJ-A,Logistician,"[26, 28, 76, 53, 72]"
3,ISTJ-A,Logistician,"[22, 28, 92, 56, 75]"
4,ISTP-A,Virtuoso,"[19, 31, 86, 49, 75]"
5,ISTJ-A,Logistician,"[33, 29, 81, 53, 78]"
6,ISTP-A,Virtuoso,"[28, 31, 81, 47, 72]"
7,ISTP-A,Virtuoso,"[33, 31, 81, 47, 72]"
8,ISTJ-A,Logistician,"[28, 22, 81, 56, 75]"
9,ISTJ-A,Logistician,"[22, 29, 90, 53, 67]"
10,ISTP-A,Virtuoso,"[25, 31, 86, 42, 75]"
11,ISTJ-A,Logistician,"[22, 28, 78, 53, 75]"
12,ISTP-A,Virtuoso,"[37, 28, 79, 42, 72]"
13,ISTP-A,Virtuoso,"[31, 24, 69, 47, 72]"
14,ISTJ-A,Logistician,"[28, 24, 78, 56, 75]"
15,ISTJ-A,Logistician,"[33, 31, 83, 53, 72]"
16,ISTJ-A,Logistician,"[35, 31, 81, 61, 69]"
17,ISTP-A,Virtuoso,"[25, 25, 83, 47, 69]"
18,ISTP-A,Virtuoso,"[25, 29, 83, 47, 75]"
19,ISTP-A,Virtuoso,"[36, 31, 69, 47, 69]"
20,ISTP-A,Virtuoso,"[33, 25, 83, 47, 69]"
