Cycle,Code,Role,Values
Cycle,Code,Role,Values
1,ISTJ-A,Logistician,"[28, 31, 79, 51, 64]"
2,ISTP-A,Virtuoso,"[35, 22, 65, 47, 61]"
3,ISTP-A,Virtuoso,"[35, 29, 71, 46, 61]"
4,ISTJ-A,Logistician,"[39, 29, 78, 53, 60]"
5,ISTJ-A,Logistician,"[24, 29, 72, 56, 67]"
6,ISTJ-A,Logistician,"[25, 27, 78, 56, 61]"
7,ISTJ-A,Logistician,"[31, 24, 78, 53, 61]"
8,ISTP-A,Virtuoso,"[29, 27, 86, 44, 58]"
9,ISTP-A,Virtuoso,"[28, 25, 65, 49, 57]"
10,ISTP-A,Virtuoso,"[26, 21, 81, 49, 58]"
11,ISTJ-A,Logistician,"[31, 25, 72, 63, 65]"
12,ISTP-A,Virtuoso,"[39, 28, 74, 49, 56]"
13,ISTJ-A,Logistician,"[31, 29, 76, 58, 69]"
14,ISTJ-A,Logistician,"[47, 29, 69, 53, 69]"
15,ISTJ-A,Logistician,"[18, 20, 81, 56, 64]"
16,ISTP-A,Virtuoso,"[33, 20, 82, 49, 58]"
17,ISTJ-A,Logistician,"[35, 22, 85, 57, 71]"
18,ISTJ-A,Logistician,"[29, 25, 81, 53, 61]"
19,ISTP-A,Virtuoso,"[32, 18, 83, 47, 58]"
20,ESTP-A,Entrepreneur,"[60, 31, 71, 49, 64]"
