Cycle,Code,Role,Values
1,ISTJ-A,Logistician,"[22, 28, 72, 53, 56]"
2,ISTP-A,Virtuoso,"[25, 34, 69, 36, 67]"
3,ISTP-A,Virtuoso,"[31, 34, 67, 37, 67]"
4,ISTP-T,Virtuoso,"[42, 31, 58, 49, 49]"
5,ISTP-A,Virtuoso,"[39, 28, 67, 36, 64]"
6,ISTP-A,Virtuoso,"[26, 36, 61, 49, 61]"
7,ISTP-A,Virtuoso,"[22, 28, 75, 49, 61]"
8,ISTP-A,Virtuoso,"[36, 31, 64, 39, 63]"
9,ISTJ-A,Logistician,"[39, 25, 67, 51, 64]"
10,ISTP-A,Virtuoso,"[36, 34, 61, 44, 69]"
11,ISTP-A,Virtuoso,"[33, 31, 72, 44, 61]"
12,ISTP-A,Virtuoso,"[40, 31, 75, 42, 58]"
13,ISTP-A,Virtuoso,"[39, 36, 76, 46, 58]"
14,ISTP-A,Virtuoso,"[28, 28, 67, 49, 65]"
15,ISTP-A,Virtuoso,"[31, 25, 78, 47, 61]"
16,ISTP-A,Virtuoso,"[42, 32, 53, 42, 61]"
17,ISTP-A,Virtuoso,"[32, 13, 67, 47, 58]"
18,ISTP-A,Virtuoso,"[44, 43, 72, 39, 64]"
19,ISTP-A,Virtuoso,"[25, 28, 69, 42, 56]"
20,ISTP-A,Virtuoso,"[43, 31, 64, 42, 58]"
