Cycle,Code,Role,Values
1,ISTP-A,Virtuoso,"[49, 34, 67, 35, 64]"
2,ISTP-A,Virtuoso,"[47, 34, 67, 31, 67]"
3,ESTP-A,Entrepreneur,"[53, 35, 67, 33, 69]"
4,ESTP-A,Entrepreneur,"[56, 34, 61, 33, 64]"
5,ESTP-A,Entrepreneur,"[58, 31, 61, 36, 69]"
6,ESTP-A,Entrepreneur,"[61, 36, 61, 22, 67]"
7,ISTP-A,Virtuoso,"[44, 38, 61, 21, 67]"
8,ESTP-A,Entrepreneur,"[53, 34, 67, 32, 69]"
9,ISTP-A,Virtuoso,"[44, 36, 72, 33, 72]"
10,ISTP-A,Virtuoso,"[49, 34, 61, 28, 67]"
11,ISTP-A,Virtuoso,"[49, 39, 67, 31, 69]"
12,ESTP-A,Entrepreneur,"[67, 36, 56, 31, 75]"
13,ESTP-A,Entrepreneur,"[53, 39, 61, 19, 64]"
14,ESTP-A,Entrepreneur,"[56, 39, 63, 39, 69]"
15,ISTP-A,Virtuoso,"[44, 36, 67, 36, 69]"
16,ISTP-A,Virtuoso,"[31, 34, 69, 39, 69]"
17,ISTP-A,Virtuoso,"[31, 36, 69, 31, 72]"
18,ESTP-A,Entrepreneur,"[67, 42, 67, 36, 64]"
19,ESTP-A,Entrepreneur,"[64, 36, 63, 31, 61]"
20,ESTP-A,Entrepreneur,"[61, 36, 69, 28, 64]"
