Cycle,Code,Role,Values
1,ESTP-A,Entrepreneur,"[54, 9, 78, 40, 58]"
2,ISTP-A,Virtuoso,"[44, 25, 78, 36, 64]"
3,ISTP-A,Virtuoso,"[47, 28, 75, 39, 56]"
4,ISTP-A,Virtuoso,"[32, 24, 82, 33, 61]"
5,ISTP-A,Virtuoso,"[42, 39, 72, 28, 64]"
6,ISTP-A,Virtuoso,"[47, 31, 78, 36, 58]"
7,ESTP-T,Entrepreneur,"[53, 14, 64, 28, 49]"
8,ESTP-A,Entrepreneur,"[53, 25, 78, 31, 60]"
9,ISTP-A,Virtuoso,"[49, 28, 86, 39, 64]"
10,ISTP-A,Virtuoso,"[39, 35, 65, 40, 64]"
11,ESTP-A,Entrepreneur,"[58, 27, 75, 33, 67]"
12,ESTP-A,Entrepreneur,"[53, 9, 76, 31, 61]"
13,ISTP-A,Virtuoso,"[47, 25, 72, 42, 63]"
14,ESTP-A,Entrepreneur,"[53, 17, 78, 28, 61]"
15,ISTP-A,Virtuoso,"[44, 20, 81, 36, 64]"
16,ISTP-A,Virtuoso,"[33, 21, 74, 37, 64]"
17,ISTP-A,Virtuoso,"[47, 28, 69, 29, 67]"
18,ISTP-A,Virtuoso,"[39, 34, 63, 33, 64]"
19,ISTP-A,Virtuoso,"[33, 25, 78, 42, 57]"
20,ISTP-A,Virtuoso,"[47, 28, 69, 35, 56]"
