Cycle,Code,Role,Values
1,ISTP-A,Virtuoso,"[17, 22, 94, 44, 71]"
2,ISTP-A,Virtuoso,"[8, 28, 93, 33, 74]"
3,ISTP-A,Virtuoso,"[11, 17, 83, 47, 68]"
4,ISTP-A,Virtuoso,"[14, 29, 89, 44, 64]"
5,ISTJ-A,Logistician,"[14, 28, 93, 51, 69]"
6,ISTP-A,Virtuoso,"[11, 28, 92, 36, 64]"
7,ISTP-A,Virtuoso,"[11, 28, 89, 43, 72]"
8,ISTP-A,Virtuoso,"[11, 31, 94, 49, 64]"
9,ISTP-A,Virtuoso,"[11, 28, 96, 40, 74]"
10,ISTP-A,Virtuoso,"[14, 25, 92, 49, 74]"
11,ISTP-A,Virtuoso,"[14, 28, 94, 47, 64]"
12,ISTP-A,Virtuoso,"[14, 24, 81, 44, 69]"
13,ISTJ-A,Logistician,"[14, 25, 94, 53, 69]"
14,ISTJ-A,Logistician,"[17, 25, 93, 53, 72]"
15,ISTJ-A,Logistician,"[4, 25, 92, 53, 69]"
16,ISTJ-A,Logistician,"[12, 22, 89, 54, 75]"
17,ISTJ-A,Logistician,"[11, 17, 93, 60, 60]"
18,ISTP-A,Virtuoso,"[11, 28, 86, 36, 71]"
19,ISTP-A,Virtuoso,"[11, 28, 92, 49, 69]"
20,ISTP-A,Virtuoso,"[8, 25, 93, 49, 74]"
