Cycle,Code,Role,Values
1,ISTP-A,Virtuoso,"[19, 17, 69, 26, 72]"
2,ISTP-A,Virtuoso,"[22, 7, 72, 29, 58]"
3,ISTP-A,Virtuoso,"[19, 21, 81, 31, 58]"
4,ISTP-A,Virtuoso,"[14, 17, 72, 28, 64]"
5,ISTP-A,Virtuoso,"[8, 20, 78, 31, 69]"
6,ISTP-A,Virtuoso,"[22, 24, 60, 31, 61]"
7,ISTP-A,Virtuoso,"[6, 25, 72, 31, 67]"
8,ISTP-A,Virtuoso,"[6, 25, 72, 29, 65]"
9,ISTP-A,Virtuoso,"[24, 17, 72, 29, 64]"
10,ISTP-A,Virtuoso,"[1, 25, 72, 25, 67]"
11,ISTP-A,Virtuoso,"[17, 41, 67, 29, 64]"
12,ISTP-A,Virtuoso,"[3, 28, 75, 25, 64]"
13,ISTP-A,Virtuoso,"[25, 39, 86, 31, 67]"
14,ISTP-A,Virtuoso,"[7, 42, 72, 33, 67]"
15,ISTP-A,Virtuoso,"[3, 22, 78, 31, 61]"
16,ISTP-A,Virtuoso,"[14, 22, 56, 31, 65]"
17,ISTJ-A,Logistician,"[11, 16, 72, 100, 67]"
18,ISTP-A,Virtuoso,"[14, 21, 61, 31, 68]"
19,ISTP-A,Virtuoso,"[25, 28, 71, 32, 61]"
20,ISTP-A,Virtuoso,"[24, 25, 78, 31, 69]"
