Cycle,Code,Role,Values
1,ISTP-A,Virtuoso,"[47, 28, 78, 33, 69]"
2,ISTP-A,Virtuoso,"[42, 25, 81, 32, 75]"
3,ISTP-A,Virtuoso,"[47, 25, 78, 33, 69]"
4,ISTP-A,Virtuoso,"[47, 28, 89, 36, 72]"
5,ISTP-A,Virtuoso,"[47, 28, 78, 35, 69]"
6,ISTP-A,Virtuoso,"[47, 32, 78, 36, 78]"
7,ISTP-A,Virtuoso,"[42, 28, 81, 35, 69]"
8,ESTP-A,Entrepreneur,"[53, 31, 78, 33, 69]"
9,ESTP-A,Entrepreneur,"[53, 28, 81, 35, 72]"
10,ESTP-A,Entrepreneur,"[53, 31, 78, 36, 75]"
11,ISTP-A,Virtuoso,"[40, 28, 78, 28, 72]"
12,ISTP-A,Virtuoso,"[49, 28, 83, 35, 69]"
13,ISTP-A,Virtuoso,"[49, 25, 78, 37, 72]"
14,ISTP-A,Virtuoso,"[47, 28, 75, 33, 69]"
15,ISTP-A,Virtuoso,"[49, 32, 75, 35, 69]"
16,ISTP-A,Virtuoso,"[47, 28, 78, 32, 74]"
17,ESTP-A,Entrepreneur,"[53, 28, 86, 31, 72]"
18,ISTP-A,Virtuoso,"[47, 28, 78, 32, 69]"
19,ISTP-A,Virtuoso,"[44, 31, 86, 36, 69]"
20,ESTP-A,Entrepreneur,"[56, 31, 78, 37, 72]"
