Cycle,Code,Role,Values
1,ISTP-A,Virtuoso,"[39, 34, 64, 39, 75]"
2,ISTP-A,Virtuoso,"[49, 34, 58, 36, 78]"
3,ISTP-A,Virtuoso,"[39, 34, 61, 44, 72]"
4,ISTJ-A,Logistician,"[49, 28, 75, 53, 78]"
5,ISTP-A,Virtuoso,"[33, 34, 61, 39, 81]"
6,ISTP-A,Virtuoso,"[47, 25, 61, 37, 78]"
7,ISTP-A,Virtuoso,"[49, 34, 67, 43, 75]"
8,ISTP-A,Virtuoso,"[44, 28, 61, 42, 75]"
9,ISTP-A,Virtuoso,"[44, 34, 61, 43, 78]"
10,ISTP-A,Virtuoso,"[39, 28, 69, 36, 75]"
11,ISTP-A,Virtuoso,"[36, 34, 69, 44, 78]"
12,ISTP-A,Virtuoso,"[36, 36, 61, 42, 75]"
13,ISTP-A,Virtuoso,"[36, 28, 69, 33, 72]"
14,ISTP-A,Virtuoso,"[44, 28, 67, 39, 78]"
15,ISTP-A,Virtuoso,"[47, 20, 63, 47, 67]"
16,ISTP-A,Virtuoso,"[44, 25, 69, 36, 72]"
17,ISTP-A,Virtuoso,"[36, 34, 67, 42, 75]"
18,ISTP-A,Virtuoso,"[42, 28, 67, 36, 81]"
19,ISTP-A,Virtuoso,"[44, 25, 61, 42, 75]"
20,ISTP-A,Virtuoso,"[36, 36, 67, 36, 81]"
