Cycle,Code,Role,Values
Cycle,Code,Role,Values
1,ISTP-A,Virtuoso,"[28, 22, 75, 28, 69]"
2,ISTP-A,Virtuoso,"[33, 32, 69, 35, 67]"
3,ISTP-A,Virtuoso,"[28, 21, 72, 37, 61]"
4,ISTP-A,Virtuoso,"[32, 11, 72, 32, 72]"
5,ISTP-A,Virtuoso,"[28, 17, 72, 33, 68]"
6,ISTP-A,Virtuoso,"[39, 20, 72, 36, 71]"
7,ISTP-A,Virtuoso,"[29, 28, 75, 26, 68]"
8,ISTP-A,Virtuoso,"[31, 28, 72, 29, 69]"
9,ISTP-A,Virtuoso,"[39, 28, 72, 32, 75]"
10,ISTP-A,Virtuoso,"[39, 24, 72, 32, 75]"
11,ISTP-A,Virtuoso,"[31, 24, 78, 28, 71]"
12,ISTP-A,Virtuoso,"[28, 22, 76, 22, 71]"
13,ISTP-A,Virtuoso,"[26, 20, 75, 33, 67]"
14,ISTP-A,Virtuoso,"[37, 29, 81, 31, 69]"
15,ISTP-A,Virtuoso,"[31, 13, 72, 25, 71]"
16,ISTP-A,Virtuoso,"[39, 24, 74, 36, 64]"
17,ISTP-A,Virtuoso,"[35, 31, 72, 26, 72]"
18,ISTP-A,Virtuoso,"[36, 20, 78, 40, 72]"
19,ISTP-A,Virtuoso,"[39, 24, 75, 33, 69]"
20,ISTP-A,Virtuoso,"[24, 24, 72, 28, 71]"
