Cycle,Code,Role,Values
1,ESFP-A,Entertainer,"[65, 34, 42, 22, 68]"
2,ESFP-A,Entertainer,"[69, 42, 37, 26, 74]"
3,ESFP-A,Entertainer,"[69, 36, 47, 28, 79]"
4,ESFP-A,Entertainer,"[65, 32, 44, 25, 76]"
5,ESFP-A,Entertainer,"[68, 41, 44, 19, 76]"
6,ESFP-A,Entertainer,"[65, 38, 42, 24, 71]"
7,ESFP-A,Entertainer,"[68, 31, 46, 22, 74]"
8,ESFP-A,Entertainer,"[69, 41, 43, 18, 75]"
9,ESFP-A,Entertainer,"[63, 43, 44, 28, 78]"
10,ESFP-A,Entertainer,"[71, 45, 39, 32, 76]"
11,ESFP-A,Entertainer,"[72, 39, 36, 25, 68]"
12,ESFP-A,Entertainer,"[68, 42, 40, 28, 82]"
13,ESFP-A,Entertainer,"[71, 46, 39, 26, 72]"
14,ESFP-A,Entertainer,"[71, 43, 44, 24, 74]"
15,ESFP-A,Entertainer,"[63, 34, 46, 19, 75]"
16,ESFP-A,Entertainer,"[69, 46, 35, 26, 69]"
17,ESFP-A,Entertainer,"[71, 39, 40, 25, 71]"
18,ESFP-A,Entertainer,"[68, 46, 40, 26, 75]"
19,ESFP-A,Entertainer,"[63, 41, 42, 22, 75]"
20,ESFP-A,Entertainer,"[64, 39, 37, 24, 75]"
