Cycle,Code,Role,Values
1,ESTJ-A,Executive,"[65, 14, 78, 65, 76]"
2,ESTJ-A,Executive,"[65, 18, 76, 63, 82]"
3,ESTJ-A,Executive,"[67, 20, 76, 64, 75]"
4,ESTJ-A,Executive,"[72, 16, 79, 63, 79]"
5,ESTJ-A,Executive,"[67, 10, 85, 60, 75]"
6,ESTJ-A,Executive,"[67, 16, 82, 63, 78]"
7,ESTJ-A,Executive,"[60, 10, 76, 72, 75]"
8,ESTJ-A,Executive,"[65, 16, 76, 74, 75]"
9,ESTJ-A,Executive,"[63, 11, 76, 71, 81]"
10,ESTJ-A,Executive,"[69, 17, 75, 64, 78]"
11,ESTJ-A,Executive,"[68, 18, 85, 63, 75]"
12,ESTJ-A,Executive,"[68, 16, 79, 64, 81]"
13,ESTJ-A,Executive,"[67, 18, 82, 64, 82]"
14,ESTJ-A,Executive,"[63, 16, 79, 63, 78]"
15,ESTJ-A,Executive,"[67, 17, 76, 67, 81]"
16,ESTJ-A,Executive,"[65, 18, 81, 61, 78]"
17,ESTJ-A,Executive,"[68, 13, 81, 72, 78]"
18,ESTJ-A,Executive,"[60, 18, 82, 67, 82]"
19,ESTJ-A,Executive,"[65, 13, 81, 63, 81]"
20,ESTJ-A,Executive,"[65, 21, 79, 61, 86]"
