Cycle,Code,Role,Values
Cycle,Code,Role,Values
1,ESFP-A,Entertainer,"[65, 36, 49, 28, 75]"
2,ESFP-A,Entertainer,"[71, 36, 47, 21, 76]"
3,ESTP-A,Entrepreneur,"[65, 25, 56, 19, 72]"
4,ESFP-A,Entertainer,"[65, 24, 49, 19, 74]"
5,ESTP-A,Entrepreneur,"[64, 47, 53, 25, 81]"
6,ESFP-A,Entertainer,"[65, 34, 49, 18, 81]"
7,ESFP-A,Entertainer,"[64, 17, 47, 21, 76]"
8,ESFP-A,Entertainer,"[65, 43, 47, 19, 74]"
9,ESFP-A,Entertainer,"[72, 20, 49, 21, 76]"
10,ESFP-A,Entertainer,"[65, 27, 46, 28, 78]"
11,ESTP-A,Entrepreneur,"[71, 29, 53, 19, 76]"
12,ESTP-A,Entrepreneur,"[65, 32, 56, 24, 75]"
13,ESTP-A,Entrepreneur,"[65, 21, 56, 28, 85]"
14,ESFP-A,Entertainer,"[65, 29, 49, 22, 78]"
15,ESFP-A,Entertainer,"[72, 36, 49, 25, 71]"
16,ESFP-A,Entertainer,"[75, 34, 46, 17, 79]"
17,ESTP-A,Entrepreneur,"[63, 29, 54, 21, 76]"
18,ESTP-A,Entrepreneur,"[67, 35, 51, 25, 76]"
19,ESFP-A,Entertainer,"[67, 31, 49, 21, 79]"
20,ESFP-A,Entertainer,"[65, 34, 44, 25, 76]"
