Cycle,Code,Role,Values
1,ISFJ-A,Defender,"[17, 41, 36, 57, 63]"
2,ISFJ-A,Defender,"[22, 39, 35, 56, 57]"
3,ISFJ-A,Defender,"[19, 39, 35, 54, 63]"
4,ISFJ-A,Defender,"[21, 42, 33, 53, 60]"
5,ISFJ-A,Defender,"[17, 48, 37, 58, 54]"
6,ISFJ-A,Defender,"[21, 39, 36, 56, 63]"
7,ISFJ-A,Defender,"[24, 41, 33, 53, 61]"
8,ISFJ-A,Defender,"[18, 36, 31, 54, 57]"
9,ISFJ-A,Defender,"[15, 36, 36, 56, 63]"
10,ISFJ-A,Defender,"[18, 43, 35, 56, 58]"
11,ISFJ-A,Defender,"[21, 43, 36, 58, 58]"
12,ISFJ-A,Defender,"[21, 34, 36, 58, 60]"
13,ISFJ-A,Defender,"[18, 46, 36, 54, 57]"
14,ISFJ-A,Defender,"[19, 42, 33, 53, 63]"
15,ISFJ-A,Defender,"[21, 41, 33, 58, 61]"
16,ISFJ-A,Defender,"[19, 39, 37, 61, 60]"
17,ISFJ-A,Defender,"[12, 42, 35, 61, 54]"
18,ISFJ-A,Defender,"[19, 39, 33, 53, 60]"
19,ISFJ-A,Defender,"[19, 39, 37, 57, 61]"
20,ISFJ-A,Defender,"[17, 38, 36, 54, 58]"
