Cycle,Code,Role,Values
1,ISFJ-A,Defender,"[11, 18, 42, 68, 67]"
2,ISFJ-A,Defender,"[8, 24, 47, 69, 67]"
3,ISFJ-A,Defender,"[12, 18, 43, 69, 68]"
4,ISFJ-A,Defender,"[11, 31, 40, 71, 67]"
5,ISFJ-A,Defender,"[12, 18, 46, 76, 65]"
6,ISFJ-A,Defender,"[7, 28, 43, 65, 64]"
7,ISFJ-A,Defender,"[10, 29, 49, 71, 65]"
8,ISFJ-A,Defender,"[4, 28, 49, 64, 61]"
9,ISFJ-A,Defender,"[12, 31, 46, 68, 64]"
10,ISFJ-A,Defender,"[14, 28, 46, 67, 61]"
11,ISFJ-A,Defender,"[14, 22, 47, 67, 67]"
12,ISFJ-A,Defender,"[17, 21, 47, 72, 65]"
13,ISFJ-A,Defender,"[14, 21, 42, 71, 68]"
14,ISFJ-A,Defender,"[14, 22, 49, 65, 64]"
15,ISFJ-A,Defender,"[14, 32, 47, 64, 64]"
16,ISFJ-A,Defender,"[15, 28, 49, 74, 68]"
17,ISFJ-A,Defender,"[12, 32, 42, 69, 68]"
18,ISFJ-A,Defender,"[10, 29, 44, 69, 64]"
19,ISFJ-A,Defender,"[14, 29, 42, 67, 63]"
20,ISFJ-A,Defender,"[10, 27, 46, 71, 65]"
