Cycle,Code,Role,Values
1,ISFP-A,Adventurer,"[17, 48, 40, 36, 65]"
2,INFP-A,Mediator,"[14, 51, 39, 32, 65]"
3,ISFP-A,Adventurer,"[12, 43, 37, 42, 69]"
4,ISFP-A,Adventurer,"[17, 47, 36, 39, 75]"
5,ISFP-A,Adventurer,"[15, 42, 37, 35, 74]"
6,ISFP-A,Adventurer,"[19, 46, 36, 35, 69]"
7,ISFP-A,Adventurer,"[12, 42, 36, 37, 68]"
8,ISFP-A,Adventurer,"[19, 46, 32, 40, 72]"
9,ISFP-A,Adventurer,"[14, 48, 33, 40, 72]"
10,ISFP-A,Adventurer,"[21, 45, 33, 36, 67]"
11,ISFP-A,Adventurer,"[18, 47, 36, 35, 67]"
12,ISFP-A,Adventurer,"[15, 45, 40, 26, 72]"
13,INFP-A,Mediator,"[14, 54, 36, 36, 63]"
14,INFP-A,Mediator,"[14, 51, 35, 33, 65]"
15,INFP-A,Mediator,"[10, 54, 33, 32, 68]"
16,ISFP-A,Adventurer,"[15, 48, 36, 35, 68]"
17,ISFP-A,Adventurer,"[12, 46, 35, 33, 64]"
18,ISFP-A,Adventurer,"[14, 48, 35, 36, 68]"
19,ISFP-A,Adventurer,"[14, 42, 32, 40, 64]"
20,ISFP-A,Adventurer,"[15, 48, 39, 33, 67]"
