Cycle,Code,Role,Values
Cycle,Code,Role,Values
1,INTP-A,Logician,"[39, 53, 57, 19, 65]"
2,INTP-A,Logician,"[37, 54, 58, 15, 67]"
3,INTP-A,Logician,"[37, 56, 54, 17, 67]"
4,INTP-A,Logician,"[40, 52, 67, 19, 64]"
5,INTP-A,Logician,"[37, 56, 67, 19, 71]"
6,INTP-A,Logician,"[39, 51, 60, 19, 69]"
7,INTP-A,Logician,"[33, 53, 57, 17, 69]"
8,INTP-A,Logician,"[37, 60, 63, 15, 68]"
9,ISTP-A,Virtuoso,"[37, 48, 63, 18, 65]"
10,INTP-A,Logician,"[35, 59, 63, 15, 67]"
11,INTP-A,Logician,"[28, 52, 64, 14, 71]"
12,ISTP-A,Virtuoso,"[40, 47, 60, 14, 68]"
13,INTP-A,Logician,"[35, 54, 64, 12, 72]"
14,ISTP-A,Virtuoso,"[33, 48, 61, 17, 64]"
15,ISTP-A,Virtuoso,"[37, 47, 60, 18, 68]"
16,ISTP-A,Virtuoso,"[33, 48, 61, 17, 68]"
17,INTP-A,Logician,"[37, 51, 60, 18, 68]"
18,INTP-A,Logician,"[33, 57, 57, 18, 72]"
19,INTP-A,Logician,"[33, 53, 61, 12, 65]"
20,INTP-A,Logician,"[37, 51, 60, 17, 65]"
