Cycle,Code,Role,Values
1,ISTP-A,Virtuoso,"[12, 31, 74, 46, 81]"
2,ISTJ-A,Logistician,"[24, 39, 78, 61, 83]"
3,ISTP-A,Virtuoso,"[19, 39, 85, 49, 76]"
4,ISTJ-A,Logistician,"[21, 38, 79, 56, 71]"
5,ISTP-A,Virtuoso,"[21, 42, 78, 49, 75]"
6,ISTP-A,Virtuoso,"[24, 38, 71, 49, 86]"
7,ISTP-A,Virtuoso,"[11, 38, 78, 49, 68]"
8,ISTJ-A,Logistician,"[21, 34, 75, 51, 85]"
9,ISTJ-A,Logistician,"[31, 39, 78, 53, 81]"
10,ISTJ-A,Logistician,"[28, 39, 83, 58, 76]"
11,ISTJ-A,Logistician,"[15, 36, 81, 67, 82]"
12,ISTP-A,Virtuoso,"[26, 39, 76, 46, 79]"
13,ISTJ-A,Logistician,"[15, 34, 85, 54, 81]"
14,ISTJ-A,Logistician,"[21, 42, 81, 54, 79]"
15,ISTJ-A,Logistician,"[25, 31, 79, 60, 81]"
16,ISTJ-A,Logistician,"[25, 39, 79, 61, 82]"
17,ISTP-A,Virtuoso,"[21, 35, 78, 49, 72]"
18,ISTJ-A,Logistician,"[21, 35, 76, 54, 79]"
19,ISTJ-A,Logistician,"[22, 36, 79, 61, 89]"
20,ISTJ-A,Logistician,"[25, 36, 79, 53, 82]"
