Cycle,Code,Role,Values
1,ISTP-A,Virtuoso,"[26, 39, 79, 31, 72]"
2,ISTP-A,Virtuoso,"[22, 31, 79, 32, 72]"
3,ISTP-A,Virtuoso,"[25, 35, 78, 31, 71]"
4,INTP-A,Logician,"[28, 52, 81, 29, 72]"
5,ISTP-A,Virtuoso,"[24, 35, 81, 35, 67]"
6,ISTP-A,Virtuoso,"[21, 36, 83, 28, 72]"
7,ISTP-A,Virtuoso,"[21, 41, 88, 35, 71]"
8,INTP-A,Logician,"[24, 53, 88, 33, 75]"
9,ISTP-A,Virtuoso,"[26, 39, 69, 28, 72]"
10,ISTP-A,Virtuoso,"[19, 39, 81, 28, 71]"
11,ISTP-A,Virtuoso,"[25, 42, 79, 25, 67]"
12,ISTP-A,Virtuoso,"[22, 38, 81, 33, 72]"
13,ISTP-A,Virtuoso,"[28, 41, 82, 28, 68]"
14,ISTP-A,Virtuoso,"[21, 28, 72, 29, 67]"
15,ISTP-A,Virtuoso,"[24, 41, 83, 32, 68]"
16,INTP-A,Logician,"[26, 52, 85, 31, 75]"
17,ISTP-A,Virtuoso,"[28, 36, 81, 37, 65]"
18,ISTP-A,Virtuoso,"[19, 45, 81, 24, 69]"
19,ISTP-A,Virtuoso,"[26, 46, 86, 36, 69]"
20,ISTP-A,Virtuoso,"[26, 38, 85, 32, 67]"
