Cycle,Code,Role,Values
1,INFP-A,Mediator,"[29, 54, 32, 24, 71]"
2,ISFP-A,Adventurer,"[37, 45, 33, 21, 63]"
3,ISFP-A,Adventurer,"[24, 43, 36, 24, 65]"
4,ISFP-A,Adventurer,"[26, 32, 36, 28, 74]"
5,ISFP-A,Adventurer,"[33, 43, 39, 21, 68]"
6,ISFP-A,Adventurer,"[31, 43, 39, 24, 72]"
7,ISFP-A,Adventurer,"[26, 43, 36, 24, 69]"
8,ISFP-A,Adventurer,"[28, 47, 29, 25, 61]"
9,ISFP-A,Adventurer,"[32, 27, 36, 21, 67]"
10,ISFP-A,Adventurer,"[26, 47, 35, 25, 65]"
11,ISFP-A,Adventurer,"[21, 46, 37, 28, 63]"
12,ISFP-A,Adventurer,"[25, 39, 35, 25, 71]"
13,INFP-A,Mediator,"[33, 52, 32, 25, 74]"
14,ISFP-A,Adventurer,"[33, 42, 35, 24, 71]"
15,ISFP-A,Adventurer,"[28, 46, 37, 28, 63]"
16,ISFP-A,Adventurer,"[18, 48, 31, 21, 61]"
17,ISFP-A,Adventurer,"[21, 41, 33, 24, 61]"
18,ISFP-A,Adventurer,"[32, 43, 32, 28, 64]"
19,ISFP-A,Adventurer,"[29, 41, 36, 26, 74]"
20,ISFP-A,Adventurer,"[21, 46, 37, 24, 69]"
