Cycle,Code,Role,Values
1,ISTP-A,Virtuoso,"[21, 29, 78, 43, 75]"
2,ISTP-A,Virtuoso,"[29, 34, 75, 40, 76]"
3,ISTP-A,Virtuoso,"[17, 31, 68, 35, 71]"
4,ISTP-A,Virtuoso,"[24, 35, 72, 35, 76]"
5,ISTP-A,Virtuoso,"[19, 38, 74, 33, 71]"
6,ISTP-A,Virtuoso,"[25, 38, 68, 31, 74]"
7,ISTP-A,Virtuoso,"[25, 38, 72, 29, 74]"
8,ISTP-A,Virtuoso,"[22, 32, 71, 44, 79]"
9,ISTP-A,Virtuoso,"[19, 31, 78, 37, 78]"
10,ISTP-A,Virtuoso,"[21, 29, 75, 36, 76]"
11,ISTP-A,Virtuoso,"[28, 43, 79, 32, 68]"
12,ISTP-A,Virtuoso,"[31, 41, 71, 37, 76]"
13,ISTP-A,Virtuoso,"[31, 27, 74, 42, 74]"
14,ISTP-A,Virtuoso,"[18, 35, 71, 31, 74]"
15,ISTP-A,Virtuoso,"[31, 32, 72, 39, 79]"
16,ISTP-A,Virtuoso,"[28, 36, 67, 39, 74]"
17,ISTP-A,Virtuoso,"[26, 39, 67, 36, 67]"
18,ISTP-A,Virtuoso,"[22, 38, 71, 31, 74]"
19,ISTP-A,Virtuoso,"[19, 39, 72, 26, 71]"
20,ISTP-A,Virtuoso,"[28, 34, 71, 39, 74]"
