Cycle,Code,Role,Values
1,ISFP-A,Adventurer,"[32, 39, 40, 37, 64]"
2,ISFP-A,Adventurer,"[32, 31, 36, 39, 61]"
3,ISFP-A,Adventurer,"[40, 35, 40, 37, 61]"
4,ISFP-A,Adventurer,"[33, 39, 46, 42, 60]"
5,ISFP-A,Adventurer,"[37, 36, 39, 42, 61]"
6,ISFP-A,Adventurer,"[31, 46, 44, 43, 69]"
7,ISFP-A,Adventurer,"[32, 41, 39, 46, 60]"
8,ISFP-A,Adventurer,"[31, 35, 37, 42, 60]"
9,ISFP-A,Adventurer,"[31, 41, 39, 42, 68]"
10,ISFP-A,Adventurer,"[35, 41, 39, 42, 68]"
11,ISFP-A,Adventurer,"[35, 38, 33, 43, 64]"
12,ISFP-A,Adventurer,"[35, 46, 42, 44, 60]"
13,ISFP-A,Adventurer,"[36, 38, 37, 44, 60]"
14,ISFP-A,Adventurer,"[33, 43, 39, 46, 64]"
15,ISFP-A,Adventurer,"[31, 39, 37, 42, 58]"
16,ISFP-A,Adventurer,"[31, 39, 42, 49, 68]"
17,ISFP-A,Adventurer,"[29, 35, 37, 43, 65]"
18,ISFP-A,Adventurer,"[31, 32, 37, 40, 65]"
19,ISFP-A,Adventurer,"[37, 45, 37, 40, 74]"
20,ISFP-A,Adventurer,"[33, 42, 39, 37, 63]"
