Cycle,Code,Role,Values
1,ISFP-A,Adventurer,"[26, 48, 44, 31, 58]"
2,ISFP-A,Adventurer,"[31, 39, 40, 26, 58]"
3,ISFP-A,Adventurer,"[29, 42, 40, 25, 61]"
4,ISFP-A,Adventurer,"[25, 47, 39, 28, 60]"
5,ISFP-A,Adventurer,"[29, 42, 32, 31, 61]"
6,ISFP-A,Adventurer,"[37, 38, 40, 28, 58]"
7,ISFP-A,Adventurer,"[32, 39, 46, 22, 57]"
8,ISFP-A,Adventurer,"[29, 41, 35, 24, 60]"
9,ISFP-A,Adventurer,"[29, 35, 31, 29, 64]"
10,ISFP-A,Adventurer,"[28, 39, 43, 25, 58]"
11,ISFP-A,Adventurer,"[29, 38, 36, 28, 61]"
12,ISFP-A,Adventurer,"[33, 39, 43, 26, 60]"
13,ISFP-A,Adventurer,"[29, 43, 36, 28, 53]"
14,ISFP-A,Adventurer,"[29, 42, 39, 25, 56]"
15,ISFP-A,Adventurer,"[31, 34, 40, 29, 58]"
16,ISFP-A,Adventurer,"[31, 42, 44, 28, 58]"
17,ISFP-A,Adventurer,"[29, 41, 37, 26, 64]"
18,ISFP-A,Adventurer,"[32, 46, 39, 29, 61]"
19,ISFP-A,Adventurer,"[29, 41, 39, 29, 56]"
20,ISFP-A,Adventurer,"[29, 41, 36, 32, 57]"
