Cycle,Code,Role,Values
1,ISFP-A,Adventurer,"[37, 35, 44, 10, 68]"
2,ISFP-A,Adventurer,"[37, 34, 47, 12, 67]"
3,ISFP-A,Adventurer,"[33, 38, 44, 17, 64]"
4,ISFP-A,Adventurer,"[36, 42, 42, 17, 68]"
5,ISFP-A,Adventurer,"[36, 39, 44, 14, 64]"
6,ISFP-A,Adventurer,"[42, 42, 47, 12, 71]"
7,ISFP-A,Adventurer,"[33, 35, 47, 19, 65]"
8,ISFP-A,Adventurer,"[36, 41, 40, 18, 65]"
9,ISFP-A,Adventurer,"[33, 38, 44, 15, 63]"
10,ISFP-A,Adventurer,"[35, 43, 43, 12, 69]"
11,ISFP-A,Adventurer,"[39, 41, 42, 18, 65]"
12,ISFP-A,Adventurer,"[37, 41, 46, 19, 63]"
13,ISFP-A,Adventurer,"[36, 41, 46, 15, 65]"
14,ISFP-A,Adventurer,"[37, 41, 42, 19, 67]"
15,ISFP-A,Adventurer,"[33, 29, 47, 15, 71]"
16,ISFP-A,Adventurer,"[36, 46, 44, 18, 58]"
17,ISFP-A,Adventurer,"[35, 43, 46, 11, 65]"
18,ISFP-A,Adventurer,"[36, 31, 47, 11, 64]"
19,ISFP-A,Adventurer,"[33, 46, 43, 17, 68]"
20,ISFP-A,Adventurer,"[37, 43, 47, 11, 65]"
