Cycle,Code,Role,Values
1,ESFP-A,Entertainer,"[56, 47, 49, 19, 71]"
2,INFP-A,Mediator,"[49, 54, 49, 14, 75]"
3,ESFP-A,Entertainer,"[63, 42, 47, 19, 68]"
4,ENFP-A,Campaigner,"[61, 51, 47, 21, 71]"
5,ESFP-A,Entertainer,"[58, 43, 49, 18, 69]"
6,ISFP-A,Adventurer,"[44, 43, 43, 19, 72]"
7,ESFP-A,Entertainer,"[54, 47, 43, 22, 71]"
8,ESFP-A,Entertainer,"[54, 47, 46, 17, 74]"
9,ISFP-A,Adventurer,"[49, 41, 49, 21, 76]"
10,ESFP-A,Entertainer,"[67, 43, 49, 18, 69]"
11,ENFP-A,Campaigner,"[56, 54, 46, 22, 74]"
12,ESFP-A,Entertainer,"[51, 43, 44, 17, 65]"
13,INTP-A,Logician,"[46, 51, 54, 15, 68]"
14,ESFP-A,Entertainer,"[54, 38, 42, 19, 71]"
15,ESFP-A,Entertainer,"[53, 46, 49, 14, 72]"
16,ISTP-A,Virtuoso,"[47, 47, 53, 17, 71]"
17,ESTP-A,Entrepreneur,"[58, 41, 56, 18, 71]"
18,ISFP-A,Adventurer,"[46, 48, 46, 21, 71]"
19,ESFP-A,Entertainer,"[54, 38, 47, 15, 68]"
20,ESFP-A,Entertainer,"[51, 45, 46, 15, 67]"
