Cycle,Code,Role,Values
1,INTP-A,Logician,"[49, 53, 75, 17, 69]"
2,INTP-A,Logician,"[44, 53, 78, 21, 74]"
3,ISTP-A,Virtuoso,"[43, 47, 74, 22, 72]"
4,ISTP-A,Virtuoso,"[49, 46, 81, 19, 68]"
5,INTP-A,Logician,"[46, 57, 72, 21, 75]"
6,INTP-A,Logician,"[44, 54, 74, 17, 74]"
7,INTP-A,Logician,"[43, 53, 72, 21, 71]"
8,INTP-A,Logician,"[46, 54, 78, 21, 64]"
9,ISTP-A,Virtuoso,"[49, 48, 74, 22, 71]"
10,INTP-A,Logician,"[40, 54, 71, 24, 74]"
11,ISTP-A,Virtuoso,"[42, 45, 74, 21, 69]"
12,INTP-A,Logician,"[39, 56, 72, 19, 68]"
13,ISTP-A,Virtuoso,"[43, 48, 79, 18, 65]"
14,ISTP-A,Virtuoso,"[47, 48, 76, 19, 71]"
15,INTP-A,Logician,"[47, 57, 74, 18, 69]"
16,INTP-A,Logician,"[44, 53, 75, 19, 74]"
17,ISTP-A,Virtuoso,"[46, 45, 78, 18, 75]"
18,INTP-A,Logician,"[46, 53, 76, 19, 72]"
19,ISTP-A,Virtuoso,"[46, 48, 75, 24, 78]"
20,ISTP-A,Virtuoso,"[42, 48, 78, 17, 75]"
