Cycle,Code,Role,Values
1,ISFP-A,Adventurer,"[36, 48, 33, 43, 61]"
2,ISFP-A,Adventurer,"[32, 47, 44, 40, 64]"
3,INFP-A,Mediator,"[33, 52, 40, 37, 61]"
4,INFP-A,Mediator,"[36, 52, 37, 35, 57]"
5,ISFP-A,Adventurer,"[37, 43, 42, 35, 68]"
6,INFP-A,Mediator,"[40, 61, 42, 37, 64]"
7,INFP-A,Mediator,"[39, 52, 35, 46, 64]"
8,ISFP-A,Adventurer,"[32, 48, 42, 35, 60]"
9,ISFP-A,Adventurer,"[37, 48, 37, 37, 71]"
10,INFP-A,Mediator,"[39, 56, 42, 39, 61]"
11,INFP-A,Mediator,"[36, 54, 40, 35, 67]"
12,ISFP-A,Adventurer,"[40, 47, 33, 31, 57]"
13,INFP-A,Mediator,"[39, 51, 33, 36, 64]"
14,INFP-A,Mediator,"[36, 56, 42, 37, 68]"
15,INFP-A,Mediator,"[35, 57, 44, 46, 68]"
16,ISFP-A,Adventurer,"[44, 43, 43, 28, 61]"
17,ISFP-A,Adventurer,"[42, 45, 36, 37, 64]"
18,INFP-A,Mediator,"[36, 59, 35, 43, 65]"
19,INFP-A,Mediator,"[39, 52, 42, 40, 64]"
20,INFP-A,Mediator,"[37, 51, 36, 43, 69]"
