Cycle,Code,Role,Values
1,INFP-A,Mediator,"[39, 53, 44, 22, 72]"
2,INFP-A,Mediator,"[35, 56, 44, 21, 65]"
3,INFP-A,Mediator,"[24, 60, 40, 18, 75]"
4,INFP-A,Mediator,"[31, 57, 40, 21, 72]"
5,INFP-A,Mediator,"[32, 51, 46, 18, 74]"
6,INFP-A,Mediator,"[35, 57, 44, 21, 72]"
7,INFP-A,Mediator,"[33, 59, 36, 21, 69]"
8,INFP-A,Mediator,"[39, 59, 43, 24, 72]"
9,INFP-A,Mediator,"[28, 56, 39, 21, 71]"
10,INFP-A,Mediator,"[39, 56, 37, 19, 71]"
11,INFP-A,Mediator,"[40, 53, 44, 29, 71]"
12,INFP-A,Mediator,"[33, 56, 43, 24, 75]"
13,INFP-A,Mediator,"[33, 53, 43, 19, 76]"
14,INFP-A,Mediator,"[39, 51, 44, 21, 79]"
15,INFP-A,Mediator,"[32, 56, 47, 18, 72]"
16,INFP-A,Mediator,"[40, 53, 43, 24, 71]"
17,INFP-A,Mediator,"[33, 63, 42, 22, 72]"
18,INFP-A,Mediator,"[29, 52, 36, 18, 65]"
19,INFP-A,Mediator,"[40, 52, 44, 19, 65]"
20,INFP-A,Mediator,"[37, 52, 39, 22, 65]"
