Cycle,Code,Role,Values
Cycle,Code,Role,Values
1,ISTP-A,Virtuoso,"[1, 31, 63, 37, 58]"
2,ISTP-A,Virtuoso,"[1, 38, 64, 36, 61]"
3,ISTP-A,Virtuoso,"[6, 31, 65, 39, 65]"
4,ISTP-A,Virtuoso,"[7, 32, 64, 37, 67]"
5,ISTP-A,Virtuoso,"[10, 35, 60, 47, 67]"
6,ISTP-A,Virtuoso,"[7, 35, 68, 42, 63]"
7,ISTP-A,Virtuoso,"[11, 38, 68, 35, 63]"
8,ISTP-A,Virtuoso,"[0, 32, 64, 35, 64]"
9,ISTP-A,Virtuoso,"[6, 32, 67, 35, 63]"
10,ISTP-A,Virtuoso,"[7, 32, 64, 39, 61]"
11,ISTP-A,Virtuoso,"[6, 31, 61, 36, 65]"
12,ISTP-A,Virtuoso,"[6, 32, 64, 39, 61]"
13,ISTP-A,Virtuoso,"[3, 28, 68, 33, 63]"
14,ISTP-A,Virtuoso,"[8, 31, 61, 42, 69]"
15,ISTP-A,Virtuoso,"[0, 28, 60, 37, 60]"
16,ISTP-A,Virtuoso,"[3, 29, 72, 35, 63]"
17,ISTP-A,Virtuoso,"[10, 31, 68, 37, 64]"
18,ISTP-A,Virtuoso,"[0, 25, 63, 40, 64]"
19,ISTP-A,Virtuoso,"[0, 31, 64, 35, 63]"
20,ISTP-A,Virtuoso,"[1, 32, 65, 33, 65]"
