Cycle,Code,Role,Values
Cycle,Code,Role,Values
1,ISFP-A,Adventurer,"[33, 42, 46, 24, 72]"
2,ISFP-A,Adventurer,"[37, 42, 40, 28, 68]"
3,INFP-A,Mediator,"[36, 53, 47, 28, 71]"
4,ISFP-A,Adventurer,"[42, 38, 49, 31, 74]"
5,INFP-A,Mediator,"[36, 52, 44, 29, 71]"
6,ISFP-A,Adventurer,"[33, 46, 47, 28, 69]"
7,INFP-A,Mediator,"[35, 60, 47, 25, 67]"
8,ISTP-A,Virtuoso,"[37, 42, 54, 29, 65]"
9,ISFP-A,Adventurer,"[40, 45, 47, 31, 76]"
10,ISFP-A,Adventurer,"[39, 42, 43, 22, 69]"
11,ISFP-A,Adventurer,"[44, 42, 49, 29, 69]"
12,ISFP-A,Adventurer,"[37, 45, 49, 26, 64]"
13,ISTP-A,Virtuoso,"[39, 43, 53, 28, 71]"
14,ISFP-A,Adventurer,"[44, 42, 39, 29, 72]"
15,ISFP-A,Adventurer,"[36, 39, 49, 32, 72]"
16,ISFP-A,Adventurer,"[33, 38, 47, 28, 68]"
17,ISFP-A,Adventurer,"[37, 47, 47, 28, 74]"
18,ISFP-A,Adventurer,"[46, 45, 39, 25, 64]"
19,ISFP-A,Adventurer,"[26, 42, 46, 26, 69]"
20,ISFP-A,Adventurer,"[42, 45, 49, 32, 72]"
