Cycle,Code,Role,Values
Cycle,Code,Role,Values
1,ISTP-A,Virtuoso,"[40, 41, 58, 39, 64]"
2,ISTP-A,Virtuoso,"[39, 42, 61, 36, 63]"
3,ISTP-A,Virtuoso,"[40, 38, 60, 42, 65]"
4,ISTP-A,Virtuoso,"[44, 36, 61, 39, 65]"
5,ISTP-A,Virtuoso,"[39, 38, 61, 39, 64]"
6,ISTP-A,Virtuoso,"[37, 39, 61, 37, 60]"
7,ISTP-A,Virtuoso,"[40, 43, 63, 39, 65]"
8,ISTP-A,Virtuoso,"[40, 41, 60, 40, 64]"
9,ISTP-A,Virtuoso,"[39, 39, 61, 40, 67]"
10,ISTP-A,Virtuoso,"[40, 35, 60, 40, 65]"
11,ISTP-A,Virtuoso,"[39, 34, 58, 37, 68]"
12,ISTP-A,Virtuoso,"[37, 41, 63, 40, 64]"
13,ISTP-A,Virtuoso,"[42, 45, 60, 42, 63]"
14,ISTP-A,Virtuoso,"[40, 38, 61, 42, 65]"
15,ISTP-A,Virtuoso,"[42, 41, 61, 42, 64]"
16,ISTP-A,Virtuoso,"[42, 45, 60, 44, 64]"
17,ISTP-A,Virtuoso,"[37, 41, 58, 42, 65]"
18,ISTP-A,Virtuoso,"[40, 36, 61, 43, 64]"
19,ISTP-A,Virtuoso,"[40, 43, 61, 40, 61]"
20,ISTP-A,Virtuoso,"[37, 35, 58, 40, 65]"
