Cycle,Code,Role,Values
1,ESTP-A,Entrepreneur,"[64, 42, 83, 11, 67]"
2,ESTP-A,Entrepreneur,"[58, 41, 81, 10, 65]"
3,ESTP-A,Entrepreneur,"[65, 43, 85, 11, 68]"
4,ENTP-A,Debater,"[65, 52, 88, 11, 74]"
5,ENTP-A,Debater,"[60, 54, 79, 24, 74]"
6,ESTP-A,Entrepreneur,"[58, 45, 81, 12, 72]"
7,ENTP-A,Debater,"[61, 59, 81, 12, 74]"
8,ENTP-A,Debater,"[61, 59, 79, 15, 69]"
9,ENTP-A,Debater,"[69, 51, 79, 18, 69]"
10,ENTP-A,Debater,"[60, 54, 83, 12, 79]"
11,ESTP-A,Entrepreneur,"[60, 47, 82, 22, 74]"
12,ENTP-A,Debater,"[64, 56, 92, 15, 65]"
13,ENTP-A,Debater,"[64, 51, 83, 8, 72]"
14,ENTP-A,Debater,"[60, 57, 85, 14, 71]"
15,ESTP-A,Entrepreneur,"[64, 47, 89, 8, 76]"
16,ESTP-A,Entrepreneur,"[58, 48, 82, 15, 64]"
17,ESTP-A,Entrepreneur,"[54, 39, 81, 18, 68]"
18,ESTP-A,Entrepreneur,"[63, 48, 90, 12, 63]"
19,ENTP-A,Debater,"[58, 51, 85, 8, 78]"
20,ESTP-A,Entrepreneur,"[61, 45, 85, 17, 74]"
