Cycle,Code,Role,Values
1,ESTJ-A,Executive,"[67, 3, 86, 69, 81]"
2,ESTJ-A,Executive,"[64, 9, 83, 71, 68]"
3,ESTJ-A,Executive,"[67, 4, 88, 64, 79]"
4,ESTJ-A,Executive,"[71, 7, 92, 63, 83]"
5,ESTJ-A,Executive,"[68, 0, 79, 69, 75]"
6,ESTJ-A,Executive,"[61, 0, 83, 65, 76]"
7,ESTJ-A,Executive,"[78, 10, 81, 64, 81]"
8,ESTJ-A,Executive,"[68, 0, 88, 75, 74]"
9,ESTJ-A,Executive,"[63, 7, 82, 72, 82]"
10,ESTJ-A,Executive,"[68, 7, 83, 67, 75]"
11,ESTJ-A,Executive,"[71, 2, 85, 71, 81]"
12,ESTJ-A,Executive,"[53, 2, 88, 72, 71]"
13,ESTJ-A,Executive,"[63, 3, 92, 75, 74]"
14,ESTJ-A,Executive,"[67, 0, 85, 57, 68]"
15,ESTJ-A,Executive,"[63, 10, 81, 72, 76]"
16,ESTJ-A,Executive,"[58, 6, 82, 68, 78]"
17,ESTJ-A,Executive,"[69, 4, 82, 61, 71]"
18,ESTJ-A,Executive,"[61, 6, 82, 69, 86]"
19,ESTJ-A,Executive,"[58, 7, 82, 71, 79]"
20,ESTJ-A,Executive,"[61, 3, 83, 69, 74]"
