Cycle,Code,Role,Values
Cycle,Code,Role,Values
1,ESTP-A,Entrepreneur,"[76, 21, 51, 26, 71]"
2,ESFP-A,Entertainer,"[83, 22, 49, 29, 58]"
3,ESFP-A,Entertainer,"[75, 21, 44, 19, 71]"
4,ESTP-A,Entrepreneur,"[82, 27, 53, 32, 65]"
5,ESTP-A,Entrepreneur,"[83, 28, 51, 31, 65]"
6,ESFP-A,Entertainer,"[83, 28, 46, 29, 72]"
7,ESFP-A,Entertainer,"[83, 39, 49, 28, 67]"
8,ESFP-A,Entertainer,"[85, 34, 49, 14, 71]"
9,ESFP-A,Entertainer,"[85, 31, 49, 24, 71]"
10,ESFP-A,Entertainer,"[83, 41, 49, 25, 69]"
11,ESTP-A,Entrepreneur,"[76, 39, 53, 18, 69]"
12,ESTP-A,Entrepreneur,"[86, 27, 51, 31, 65]"
13,ESFP-A,Entertainer,"[83, 20, 49, 18, 71]"
14,ESFP-A,Entertainer,"[83, 28, 49, 21, 68]"
15,ESFP-A,Entertainer,"[82, 25, 42, 18, 69]"
16,ESFP-A,Entertainer,"[82, 27, 46, 25, 75]"
17,ESFP-A,Entertainer,"[83, 38, 46, 25, 69]"
18,ESFP-A,Entertainer,"[82, 34, 47, 24, 67]"
19,ESFP-A,Entertainer,"[83, 29, 46, 17, 65]"
20,ESTP-A,Entrepreneur,"[83, 31, 53, 21, 69]"
