Cycle,Code,Role,Values
Cycle,Code,Role,Values
1,INFP-A,Mediator,"[43, 53, 28, 12, 56]"
2,ISFP-A,Adventurer,"[43, 38, 31, 33, 54]"
3,ISFP-A,Adventurer,"[33, 34, 24, 17, 51]"
4,ISFP-T,Adventurer,"[40, 48, 28, 29, 49]"
5,ISFP-A,Adventurer,"[40, 41, 25, 36, 60]"
6,ISFP-T,Adventurer,"[42, 38, 26, 15, 49]"
7,INFP-A,Mediator,"[43, 53, 26, 31, 57]"
8,ISFP-A,Adventurer,"[42, 42, 26, 24, 65]"
9,ISFP-A,Adventurer,"[40, 41, 28, 25, 61]"
10,ISFP-A,Adventurer,"[46, 36, 25, 22, 56]"
11,ISFP-A,Adventurer,"[43, 35, 32, 29, 56]"
12,ISFP-A,Adventurer,"[37, 43, 26, 28, 57]"
13,ISFP-A,Adventurer,"[40, 47, 29, 24, 58]"
14,ISFP-A,Adventurer,"[40, 36, 26, 21, 51]"
15,ISFP-A,Adventurer,"[40, 42, 26, 17, 57]"
16,ISFP-A,Adventurer,"[47, 45, 33, 31, 54]"
17,ISFP-A,Adventurer,"[46, 39, 28, 21, 53]"
18,ISFP-A,Adventurer,"[36, 45, 29, 19, 60]"
19,ISFP-A,Adventurer,"[46, 43, 25, 32, 53]"
20,ISFP-A,Adventurer,"[46, 39, 25, 29, 56]"
