Cycle,Code,Role,Values
1,INFP-A,Mediator,"[4, 57, 29, 7, 60]"
2,INFP-A,Mediator,"[0, 53, 33, 11, 58]"
3,INFP-A,Mediator,"[4, 63, 28, 8, 56]"
4,INFP-A,Mediator,"[0, 51, 35, 12, 58]"
5,INFP-A,Mediator,"[0, 52, 29, 1, 51]"
6,INFP-A,Mediator,"[0, 52, 32, 0, 56]"
7,INFP-T,Mediator,"[0, 60, 31, 10, 49]"
8,INFP-A,Mediator,"[0, 51, 33, 8, 57]"
9,INFP-T,Mediator,"[1, 54, 32, 6, 49]"
10,INFP-A,Mediator,"[6, 52, 31, 11, 53]"
11,ISFP-A,Adventurer,"[0, 48, 29, 6, 60]"
12,INFP-A,Mediator,"[0, 57, 29, 7, 54]"
13,INFP-A,Mediator,"[0, 61, 33, 12, 58]"
14,INFP-A,Mediator,"[0, 57, 33, 3, 64]"
15,ISFP-A,Adventurer,"[4, 47, 31, 11, 58]"
16,INFP-T,Mediator,"[6, 56, 29, 14, 49]"
17,INFP-A,Mediator,"[0, 63, 33, 10, 56]"
18,INFP-T,Mediator,"[1, 61, 29, 4, 43]"
19,INFP-A,Mediator,"[0, 53, 31, 11, 54]"
20,ISFP-A,Adventurer,"[0, 47, 31, 8, 58]"
