Cycle,Code,Role,Values
1,ISTJ-A,Logistician,"[0, 42, 94, 67, 79]"
2,ISTJ-A,Logistician,"[0, 43, 92, 67, 79]"
3,ISTJ-A,Logistician,"[4, 42, 92, 65, 68]"
4,ISTJ-A,Logistician,"[0, 48, 90, 63, 69]"
5,ISTJ-A,Logistician,"[0, 47, 92, 61, 78]"
6,ISTJ-A,Logistician,"[1, 47, 85, 57, 74]"
7,ISTJ-A,Logistician,"[0, 48, 94, 65, 71]"
8,ISTJ-A,Logistician,"[1, 46, 96, 58, 78]"
9,ISTJ-A,Logistician,"[0, 42, 89, 57, 75]"
10,INTJ-A,Architect,"[4, 63, 89, 65, 68]"
11,ISTJ-A,Logistician,"[0, 48, 94, 65, 76]"
12,ISTJ-A,Logistician,"[6, 46, 92, 64, 82]"
13,ISTJ-A,Logistician,"[0, 41, 96, 56, 79]"
14,ISTJ-A,Logistician,"[0, 48, 90, 64, 69]"
15,INTJ-A,Architect,"[0, 52, 86, 65, 78]"
16,ISTJ-A,Logistician,"[0, 45, 89, 64, 74]"
17,ISTJ-A,Logistician,"[0, 43, 90, 63, 65]"
18,INTJ-A,Architect,"[0, 51, 90, 60, 67]"
19,INTJ-A,Architect,"[0, 59, 89, 64, 72]"
20,ISTJ-A,Logistician,"[0, 45, 86, 64, 68]"
