Cycle,Code,Role,Values
1,INTP-A,Logician,"[0, 51, 92, 17, 63]"
2,INTP-A,Logician,"[7, 52, 86, 28, 67]"
3,INTP-A,Logician,"[1, 57, 86, 24, 67]"
4,ISTP-A,Virtuoso,"[0, 48, 93, 17, 78]"
5,INTP-A,Logician,"[0, 52, 86, 18, 72]"
6,INTP-A,Logician,"[0, 51, 90, 18, 63]"
7,ISTP-A,Virtuoso,"[0, 48, 89, 21, 64]"
8,INTP-A,Logician,"[0, 56, 92, 25, 71]"
9,ISTP-A,Virtuoso,"[0, 45, 79, 25, 65]"
10,ISTP-A,Virtuoso,"[0, 41, 88, 15, 65]"
11,ISTP-A,Virtuoso,"[0, 48, 88, 26, 74]"
12,ISTP-A,Virtuoso,"[0, 45, 90, 24, 67]"
13,INTP-A,Logician,"[4, 53, 86, 8, 65]"
14,INTP-A,Logician,"[0, 53, 88, 25, 68]"
15,INTP-A,Logician,"[1, 52, 88, 19, 72]"
16,INTP-A,Logician,"[0, 53, 85, 19, 65]"
17,ISTP-A,Virtuoso,"[0, 46, 86, 22, 65]"
18,INTP-A,Logician,"[1, 57, 96, 28, 71]"
19,INTP-A,Logician,"[0, 59, 94, 21, 67]"
20,INTP-A,Logician,"[0, 56, 88, 22, 64]"
