Cycle,Code,Role,Values
1,ISFJ-A,Defender,"[1, 21, 33, 68, 56]"
2,ISFJ-A,Defender,"[0, 22, 39, 71, 60]"
3,ISFJ-A,Defender,"[0, 21, 39, 72, 58]"
4,ISFJ-A,Defender,"[0, 13, 40, 64, 64]"
5,ISFJ-A,Defender,"[3, 16, 37, 69, 68]"
6,ISFJ-A,Defender,"[0, 22, 46, 61, 63]"
7,ISFJ-A,Defender,"[0, 24, 39, 68, 61]"
8,ISFJ-A,Defender,"[0, 20, 44, 69, 61]"
9,ISFJ-A,Defender,"[0, 25, 31, 69, 63]"
10,ISFJ-A,Defender,"[0, 14, 36, 61, 68]"
11,ISFJ-A,Defender,"[0, 20, 37, 72, 56]"
12,ISFJ-A,Defender,"[0, 17, 43, 58, 60]"
13,ISFJ-A,Defender,"[3, 21, 37, 69, 58]"
14,ISFJ-A,Defender,"[1, 16, 42, 69, 60]"
15,ISFJ-A,Defender,"[1, 27, 40, 72, 68]"
16,ISFJ-A,Defender,"[0, 7, 40, 64, 63]"
17,ISFJ-A,Defender,"[0, 16, 36, 67, 63]"
18,ISFJ-A,Defender,"[0, 16, 42, 74, 67]"
19,ISFJ-A,Defender,"[0, 20, 44, 69, 60]"
20,ISFJ-A,Defender,"[0, 17, 37, 64, 63]"
