Cycle,Code,Role,Values
1,ISTP-A,Virtuoso,"[46, 41, 68, 22, 63]"
2,ESTP-A,Entrepreneur,"[61, 46, 75, 14, 69]"
3,ESTP-A,Entrepreneur,"[53, 46, 72, 28, 54]"
4,ESTP-A,Entrepreneur,"[51, 43, 71, 17, 61]"
5,ISTP-A,Virtuoso,"[40, 47, 86, 17, 65]"
6,ESTP-A,Entrepreneur,"[51, 43, 75, 12, 58]"
7,ESTP-A,Entrepreneur,"[53, 43, 74, 24, 69]"
8,ESTP-A,Entrepreneur,"[57, 45, 79, 14, 61]"
9,ISTP-A,Virtuoso,"[49, 48, 82, 17, 65]"
10,ESTP-A,Entrepreneur,"[61, 46, 81, 8, 68]"
11,ESTP-A,Entrepreneur,"[51, 45, 76, 17, 65]"
12,ESTP-A,Entrepreneur,"[57, 45, 75, 21, 69]"
13,ESTP-A,Entrepreneur,"[53, 43, 79, 26, 71]"
14,ENTP-A,Debater,"[56, 51, 71, 15, 69]"
15,ESTP-A,Entrepreneur,"[53, 47, 74, 12, 64]"
16,ESTP-A,Entrepreneur,"[53, 48, 75, 28, 67]"
17,ISTP-A,Virtuoso,"[44, 43, 71, 8, 71]"
18,ESTP-A,Entrepreneur,"[51, 46, 76, 11, 64]"
19,ESTP-A,Entrepreneur,"[63, 41, 71, 18, 69]"
20,ESTP-A,Entrepreneur,"[61, 46, 81, 14, 60]"
