Cycle,Code,Role,Values
1,ESTP-A,Entrepreneur,"[60, 35, 79, 18, 78]"
2,ESTP-A,Entrepreneur,"[60, 25, 78, 21, 69]"
3,ESTP-A,Entrepreneur,"[64, 25, 72, 10, 74]"
4,ESTP-A,Entrepreneur,"[58, 22, 85, 14, 79]"
5,ESTP-A,Entrepreneur,"[56, 28, 81, 4, 75]"
6,ESTP-A,Entrepreneur,"[68, 32, 61, 15, 75]"
7,ESTP-A,Entrepreneur,"[56, 25, 76, 1, 74]"
8,ESTP-A,Entrepreneur,"[56, 29, 82, 12, 78]"
9,ESTP-A,Entrepreneur,"[58, 24, 83, 12, 82]"
10,ESTP-A,Entrepreneur,"[61, 34, 60, 12, 79]"
11,ESTP-A,Entrepreneur,"[61, 21, 71, 10, 74]"
12,ESTP-A,Entrepreneur,"[61, 28, 58, 19, 75]"
13,ESTP-A,Entrepreneur,"[67, 27, 71, 14, 83]"
14,ESTP-A,Entrepreneur,"[60, 28, 81, 6, 79]"
15,ESTP-A,Entrepreneur,"[71, 27, 78, 21, 75]"
16,ESTP-A,Entrepreneur,"[57, 13, 75, 19, 82]"
17,ESTP-A,Entrepreneur,"[72, 28, 76, 15, 78]"
18,ESTP-A,Entrepreneur,"[56, 27, 75, 8, 76]"
19,ESTP-A,Entrepreneur,"[64, 27, 72, 15, 81]"
20,ESTP-A,Entrepreneur,"[65, 31, 58, 19, 81]"
