Cycle,Code,Role,Values
1,ISTP-A,Virtuoso,"[46, 29, 83, 49, 64]"
2,ISTJ-A,Logistician,"[49, 24, 86, 51, 76]"
3,ESTJ-A,Executive,"[56, 32, 83, 53, 74]"
4,ESTP-A,Entrepreneur,"[56, 21, 79, 49, 69]"
5,ESTP-A,Entrepreneur,"[58, 34, 81, 49, 75]"
6,ESTJ-A,Executive,"[53, 21, 83, 51, 68]"
7,ISTP-A,Virtuoso,"[49, 34, 82, 49, 71]"
8,ESTP-A,Entrepreneur,"[56, 28, 88, 44, 71]"
9,ESTP-A,Entrepreneur,"[56, 25, 78, 49, 71]"
10,ESTP-A,Entrepreneur,"[60, 22, 85, 46, 71]"
11,ESTJ-A,Executive,"[54, 36, 81, 51, 67]"
12,ESTJ-A,Executive,"[51, 29, 78, 58, 65]"
13,ESTP-A,Entrepreneur,"[58, 28, 82, 44, 63]"
14,ISTP-A,Virtuoso,"[47, 27, 89, 40, 63]"
15,ESTP-A,Entrepreneur,"[56, 31, 86, 49, 71]"
16,ISTP-A,Virtuoso,"[47, 20, 79, 49, 60]"
17,ESTP-A,Entrepreneur,"[53, 29, 83, 44, 74]"
18,ISTP-A,Virtuoso,"[47, 25, 85, 49, 69]"
19,ISTP-A,Virtuoso,"[49, 35, 85, 47, 65]"
20,ESTP-A,Entrepreneur,"[56, 25, 82, 49, 71]"
