Cycle,Code,Role,Values
1,ISTJ-A,Logistician,"[49, 25, 74, 56, 81]"
2,ISTP-A,Virtuoso,"[46, 18, 72, 49, 68]"
3,ESTJ-A,Executive,"[61, 35, 75, 58, 78]"
4,ESTJ-A,Executive,"[63, 24, 74, 56, 78]"
5,ISTJ-A,Logistician,"[49, 24, 75, 60, 74]"
6,ESTJ-A,Executive,"[56, 31, 82, 56, 74]"
7,ESTJ-A,Executive,"[54, 34, 71, 63, 78]"
8,ISTJ-A,Logistician,"[46, 31, 67, 51, 65]"
9,ESTJ-A,Executive,"[54, 24, 69, 57, 64]"
10,ISTJ-A,Logistician,"[42, 25, 65, 57, 68]"
11,ISTJ-A,Logistician,"[49, 31, 76, 54, 74]"
12,ESTJ-A,Executive,"[57, 24, 74, 58, 68]"
13,ESTP-A,Entrepreneur,"[56, 36, 76, 49, 64]"
14,ESTJ-A,Executive,"[54, 28, 68, 57, 63]"
15,ESTJ-A,Executive,"[58, 24, 79, 51, 65]"
16,ESTP-A,Entrepreneur,"[54, 29, 76, 47, 79]"
17,ESTJ-A,Executive,"[64, 35, 75, 69, 71]"
18,ESTJ-A,Executive,"[57, 31, 72, 60, 65]"
19,ISTJ-A,Logistician,"[49, 36, 74, 51, 69]"
20,ISTJ-A,Logistician,"[47, 29, 75, 53, 67]"
