Cycle,Code,Role,Values
1,ISTP-A,Virtuoso,"[40, 42, 71, 18, 71]"
2,ISTP-A,Virtuoso,"[49, 47, 69, 21, 63]"
3,ISTP-A,Virtuoso,"[46, 45, 65, 15, 68]"
4,INTP-A,Logician,"[44, 51, 81, 19, 64]"
5,ISTP-A,Virtuoso,"[43, 47, 75, 12, 63]"
6,INTP-A,Logician,"[49, 51, 79, 19, 56]"
7,INTP-A,Logician,"[47, 56, 75, 21, 71]"
8,INTP-A,Logician,"[43, 52, 71, 15, 64]"
9,ESTP-A,Entrepreneur,"[53, 39, 69, 15, 63]"
10,ISTP-A,Virtuoso,"[47, 48, 67, 18, 61]"
11,ENTP-A,Debater,"[51, 51, 67, 17, 65]"
12,INTP-A,Logician,"[46, 54, 79, 19, 65]"
13,INTP-A,Logician,"[43, 52, 68, 11, 68]"
14,INTP-A,Logician,"[43, 53, 72, 24, 57]"
15,ISTP-A,Virtuoso,"[43, 48, 72, 7, 65]"
16,ESTP-A,Entrepreneur,"[51, 47, 61, 8, 69]"
17,ESTP-A,Entrepreneur,"[53, 48, 75, 29, 67]"
18,ISTP-A,Virtuoso,"[49, 45, 71, 11, 64]"
19,ISTP-A,Virtuoso,"[40, 47, 72, 15, 65]"
20,ISTP-A,Virtuoso,"[36, 47, 63, 14, 71]"
