Cycle,Code,Role,Values
1,ESTP-A,Entrepreneur,"[61, 34, 60, 7, 71]"
2,ESTP-A,Entrepreneur,"[64, 36, 61, 8, 72]"
3,ESTP-A,Entrepreneur,"[67, 29, 60, 17, 68]"
4,ESTP-A,Entrepreneur,"[60, 34, 58, 10, 69]"
5,ESTP-A,Entrepreneur,"[64, 31, 54, 18, 79]"
6,ESTP-A,Entrepreneur,"[60, 38, 60, 4, 76]"
7,ESTP-A,Entrepreneur,"[63, 32, 63, 7, 69]"
8,ESTP-A,Entrepreneur,"[68, 29, 61, 15, 71]"
9,ESTP-A,Entrepreneur,"[67, 29, 61, 14, 68]"
10,ESTP-A,Entrepreneur,"[69, 32, 64, 10, 68]"
11,ESTP-A,Entrepreneur,"[64, 31, 61, 11, 69]"
12,ESTP-A,Entrepreneur,"[64, 36, 60, 14, 74]"
13,ESTP-A,Entrepreneur,"[68, 36, 53, 10, 75]"
14,ESTP-A,Entrepreneur,"[68, 25, 53, 12, 74]"
15,ESTP-A,Entrepreneur,"[60, 42, 56, 15, 68]"
16,ESTP-A,Entrepreneur,"[63, 35, 58, 10, 72]"
17,ESTP-A,Entrepreneur,"[71, 34, 60, 6, 64]"
18,ESTP-A,Entrepreneur,"[65, 34, 61, 8, 69]"
19,ESTP-A,Entrepreneur,"[64, 39, 57, 11, 71]"
20,ESTP-A,Entrepreneur,"[68, 35, 63, 8, 72]"
