Cycle,Code,Role,Values
1,ESTP-A,Entrepreneur,"[51, 31, 72, 19, 83]"
2,ESTP-A,Entrepreneur,"[53, 35, 75, 18, 83]"
3,ISTP-A,Virtuoso,"[49, 28, 75, 19, 76]"
4,ESTP-A,Entrepreneur,"[56, 25, 67, 22, 74]"
5,ISTP-A,Virtuoso,"[49, 24, 67, 25, 76]"
6,ISTP-A,Virtuoso,"[44, 28, 68, 15, 71]"
7,ISTP-A,Virtuoso,"[49, 27, 74, 21, 78]"
8,ESTP-A,Entrepreneur,"[54, 32, 68, 14, 82]"
9,ISTP-A,Virtuoso,"[40, 18, 79, 19, 76]"
10,ESTP-A,Entrepreneur,"[54, 28, 72, 28, 81]"
11,ESTP-A,Entrepreneur,"[56, 21, 72, 14, 74]"
12,ESTP-A,Entrepreneur,"[54, 22, 76, 21, 76]"
13,ISTP-A,Virtuoso,"[47, 27, 71, 15, 75]"
14,ISTP-A,Virtuoso,"[49, 22, 65, 17, 63]"
15,ESTP-A,Entrepreneur,"[56, 32, 74, 15, 85]"
16,ESTP-A,Entrepreneur,"[51, 35, 71, 12, 79]"
17,ISTP-A,Virtuoso,"[46, 20, 71, 22, 75]"
18,ISTP-A,Virtuoso,"[49, 22, 75, 26, 74]"
19,ISTP-A,Virtuoso,"[46, 21, 72, 18, 78]"
20,ESTP-A,Entrepreneur,"[54, 27, 75, 18, 71]"
