Cycle,Code,Role,Values
Cycle,Code,Role,Values
1,ISFP-A,Adventurer,"[46, 38, 40, 40, 67]"
2,INFP-A,Mediator,"[42, 57, 49, 43, 65]"
3,ISTP-A,Virtuoso,"[32, 41, 53, 49, 71]"
4,ISTJ-A,Logistician,"[39, 47, 51, 54, 65]"
5,ISFP-A,Adventurer,"[39, 43, 44, 49, 60]"
6,INTP-A,Logician,"[42, 52, 58, 47, 61]"
7,ISFP-A,Adventurer,"[37, 43, 46, 47, 64]"
8,INFP-A,Mediator,"[47, 52, 42, 49, 71]"
9,ISFP-A,Adventurer,"[44, 43, 46, 47, 63]"
10,ISFP-A,Adventurer,"[39, 43, 44, 43, 58]"
11,ISFJ-A,Defender,"[32, 46, 46, 57, 63]"
12,INFP-A,Mediator,"[44, 51, 43, 46, 67]"
13,ISFP-A,Adventurer,"[37, 47, 47, 47, 65]"
14,ISFP-A,Adventurer,"[36, 42, 47, 43, 68]"
15,ISFP-A,Adventurer,"[37, 42, 42, 43, 64]"
16,ISFP-A,Adventurer,"[35, 47, 46, 39, 65]"
17,ISFP-A,Adventurer,"[37, 46, 49, 47, 61]"
18,ISTP-A,Virtuoso,"[44, 35, 51, 43, 68]"
19,ISFP-A,Adventurer,"[40, 46, 40, 47, 71]"
20,INTP-A,Logician,"[37, 56, 51, 49, 64]"
