Cycle,Code,Role,Values
1,INFP-A,Mediator,"[19, 57, 39, 14, 64]"
2,INFP-A,Mediator,"[22, 70, 29, 25, 61]"
3,INFP-A,Mediator,"[21, 61, 40, 17, 64]"
4,INFP-A,Mediator,"[18, 64, 36, 25, 54]"
5,INFP-A,Mediator,"[31, 61, 35, 12, 63]"
6,INFP-A,Mediator,"[22, 57, 31, 25, 68]"
7,INFP-A,Mediator,"[29, 73, 39, 22, 54]"
8,INFP-A,Mediator,"[18, 66, 36, 21, 54]"
9,INFP-A,Mediator,"[24, 57, 40, 19, 74]"
10,INFP-A,Mediator,"[29, 68, 32, 22, 61]"
11,INFP-A,Mediator,"[24, 67, 40, 17, 54]"
12,INFP-A,Mediator,"[17, 63, 39, 24, 60]"
13,INFP-A,Mediator,"[24, 61, 42, 19, 51]"
14,INFP-A,Mediator,"[19, 71, 40, 19, 57]"
15,INFP-A,Mediator,"[31, 64, 33, 21, 56]"
16,INFP-A,Mediator,"[22, 57, 36, 24, 64]"
17,INFP-A,Mediator,"[19, 60, 36, 21, 53]"
18,INFP-A,Mediator,"[21, 66, 37, 18, 54]"
19,INFP-A,Mediator,"[24, 67, 35, 15, 58]"
20,INFP-A,Mediator,"[19, 61, 40, 7, 53]"
