Cycle,Code,Role,Values
1,INTP-A,Logician,"[24, 54, 78, 31, 71]"
2,ISTP-A,Virtuoso,"[21, 47, 85, 33, 65]"
3,INTP-A,Logician,"[22, 59, 75, 22, 64]"
4,ISTP-A,Virtuoso,"[32, 48, 76, 28, 68]"
5,INTP-A,Logician,"[12, 56, 83, 31, 71]"
6,INTP-A,Logician,"[19, 61, 75, 37, 69]"
7,INTP-A,Logician,"[19, 54, 78, 24, 76]"
8,INTP-A,Logician,"[24, 53, 69, 33, 74]"
9,INTP-A,Logician,"[18, 52, 76, 32, 63]"
10,INTP-A,Logician,"[14, 66, 72, 31, 68]"
11,INTP-A,Logician,"[18, 63, 71, 29, 72]"
12,INTP-A,Logician,"[21, 57, 76, 22, 71]"
13,INTP-A,Logician,"[19, 56, 69, 26, 65]"
14,ISTP-A,Virtuoso,"[24, 46, 82, 28, 67]"
15,INTP-A,Logician,"[17, 53, 75, 29, 68]"
16,INTP-A,Logician,"[18, 53, 81, 33, 61]"
17,INTP-A,Logician,"[8, 51, 74, 28, 76]"
18,INTP-A,Logician,"[15, 57, 75, 28, 67]"
19,INTP-A,Logician,"[24, 54, 79, 29, 69]"
20,INTP-A,Logician,"[14, 52, 72, 28, 68]"
