Cycle,Code,Role,Values
1,ISFJ-A,Defender,"[31, 24, 33, 61, 65]"
2,ISFJ-A,Defender,"[29, 13, 46, 61, 71]"
3,ISFJ-A,Defender,"[26, 18, 43, 64, 68]"
4,ISFJ-A,Defender,"[24, 24, 46, 67, 74]"
5,ISFJ-A,Defender,"[32, 18, 49, 65, 69]"
6,ISFJ-A,Defender,"[36, 18, 42, 60, 60]"
7,ISFJ-A,Defender,"[24, 16, 42, 67, 72]"
8,ISFJ-A,Defender,"[28, 11, 37, 58, 67]"
9,ISFJ-A,Defender,"[33, 16, 43, 61, 65]"
10,ISFJ-A,Defender,"[32, 18, 37, 69, 68]"
11,ISFJ-A,Defender,"[26, 18, 36, 61, 67]"
12,ISFJ-A,Defender,"[31, 10, 40, 61, 67]"
13,ISFJ-A,Defender,"[26, 21, 29, 67, 60]"
14,ISFJ-A,Defender,"[26, 17, 43, 58, 68]"
15,ISFJ-A,Defender,"[28, 17, 40, 60, 68]"
16,ISFJ-A,Defender,"[22, 17, 44, 57, 58]"
17,ISFJ-A,Defender,"[29, 13, 39, 64, 68]"
18,ISFJ-A,Defender,"[29, 17, 33, 74, 65]"
19,ISFJ-A,Defender,"[26, 18, 40, 60, 60]"
20,ISFJ-A,Defender,"[28, 13, 42, 69, 63]"
