Cycle,Code,Role,Values
1,INFP-A,Mediator,"[22, 53, 39, 11, 60]"
2,INFP-A,Mediator,"[26, 52, 33, 19, 67]"
3,INFP-A,Mediator,"[28, 52, 37, 19, 69]"
4,ISFP-A,Adventurer,"[18, 47, 39, 22, 67]"
5,INFP-A,Mediator,"[24, 52, 44, 17, 69]"
6,INFP-A,Mediator,"[24, 54, 40, 21, 65]"
7,INFP-A,Mediator,"[29, 52, 39, 17, 64]"
8,INFP-A,Mediator,"[28, 54, 36, 22, 68]"
9,ISFP-A,Adventurer,"[33, 48, 37, 25, 74]"
10,INFP-A,Mediator,"[21, 52, 40, 25, 65]"
11,INFP-A,Mediator,"[32, 53, 35, 21, 60]"
12,INFP-A,Mediator,"[24, 54, 46, 22, 57]"
13,INFP-A,Mediator,"[32, 56, 33, 22, 68]"
14,INFP-A,Mediator,"[19, 66, 40, 19, 67]"
15,INFP-A,Mediator,"[28, 59, 43, 17, 68]"
16,INFP-A,Mediator,"[29, 56, 42, 24, 65]"
17,ISFP-A,Adventurer,"[17, 48, 36, 22, 64]"
18,INFP-A,Mediator,"[26, 57, 37, 25, 65]"
19,INFP-A,Mediator,"[22, 56, 33, 12, 61]"
20,INFP-A,Mediator,"[25, 54, 39, 18, 63]"
