Cycle,Code,Role,Values
Cycle,Code,Role,Values
1,ISTP-A,Virtuoso,"[37, 39, 58, 43, 60]"
2,ISTP-A,Virtuoso,"[33, 34, 61, 49, 65]"
3,ISTJ-A,Logistician,"[43, 45, 57, 58, 64]"
4,ISTP-A,Virtuoso,"[36, 41, 61, 40, 68]"
5,ISTP-A,Virtuoso,"[39, 38, 56, 37, 71]"
6,ISTP-A,Virtuoso,"[35, 39, 56, 47, 67]"
7,ISTP-A,Virtuoso,"[36, 31, 53, 43, 60]"
8,ISTP-A,Virtuoso,"[39, 32, 51, 49, 63]"
9,ISTP-A,Virtuoso,"[39, 32, 51, 49, 65]"
10,ISTP-A,Virtuoso,"[35, 38, 58, 46, 68]"
11,ISFP-A,Adventurer,"[39, 43, 49, 49, 64]"
12,ISTP-A,Virtuoso,"[33, 31, 58, 49, 64]"
13,ISTP-A,Virtuoso,"[40, 39, 60, 47, 63]"
14,ISTP-A,Virtuoso,"[33, 34, 51, 43, 61]"
15,ISTP-A,Virtuoso,"[39, 39, 56, 35, 68]"
16,ISTP-A,Virtuoso,"[29, 28, 51, 44, 75]"
17,ISTP-A,Virtuoso,"[39, 39, 51, 42, 67]"
18,ISTP-A,Virtuoso,"[33, 36, 58, 49, 71]"
19,ISTJ-A,Logistician,"[35, 39, 56, 53, 61]"
20,ISFP-A,Adventurer,"[32, 35, 49, 49, 65]"
