Cycle,Code,Role,Values
Cycle,Code,Role,Values
1,ISFP-A,Adventurer,"[35, 38, 46, 46, 57]"
2,ISFP-A,Adventurer,"[35, 28, 47, 49, 63]"
3,ISFP-A,Adventurer,"[42, 39, 46, 49, 64]"
4,ISTP-A,Virtuoso,"[32, 38, 57, 49, 67]"
5,ISFP-A,Adventurer,"[35, 39, 49, 36, 61]"
6,ISFP-A,Adventurer,"[36, 41, 44, 49, 63]"
7,ISFP-A,Adventurer,"[33, 41, 49, 49, 67]"
8,ISTP-A,Virtuoso,"[42, 36, 60, 49, 65]"
9,ISTP-A,Virtuoso,"[37, 46, 57, 47, 68]"
10,ISFP-A,Adventurer,"[40, 42, 47, 49, 61]"
11,ISTP-A,Virtuoso,"[35, 36, 56, 43, 71]"
12,ISTP-A,Virtuoso,"[36, 41, 57, 46, 63]"
13,ISFP-A,Adventurer,"[42, 34, 49, 49, 65]"
14,ISFP-A,Adventurer,"[39, 38, 49, 49, 69]"
15,ISTJ-A,Logistician,"[29, 41, 54, 53, 69]"
16,ISFP-A,Adventurer,"[31, 41, 49, 47, 68]"
17,ISTP-A,Virtuoso,"[35, 38, 51, 49, 69]"
18,ISFJ-A,Defender,"[36, 48, 43, 54, 64]"
19,ISTP-A,Virtuoso,"[33, 32, 57, 44, 75]"
20,ISFP-A,Adventurer,"[36, 45, 49, 49, 67]"
