EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,EXT9,AGR9,CSN9,EST9,OPN9,EXT10,AGR10,CSN10,EST10,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_position,EST_position,AGR_position,CSN_position,OPN_position,EXT_high_or_low,EST_high_or_low,AGR_high_or_low,CSN_high_or_low,OPN_high_or_low
5,2,4,5,4,2,5,2,4,4,5,1,3,2,5,1,5,1,5,5,5,4,4,5,5,2,4,2,5,5,5,5,4,3,4,2,4,1,5,3,5,4,4,5,3,2,5,3,1,5,46,26,39,40,33,14.795226431317165,65.1757389881823,61.20948528622405,70.57756950620531,5.180525557423565,low,high,high,high,low
5,1,4,5,4,2,5,2,4,5,5,1,3,2,5,1,4,1,5,5,5,4,4,5,5,2,4,5,5,5,5,5,4,3,4,2,4,1,3,3,5,4,4,5,3,2,5,3,1,5,46,28,39,37,32,14.795226431317165,96.961119466268,61.20948528622405,38.44590142622035,34.399379124845744,low,high,high,low,low
5,1,4,5,4,2,5,2,4,5,5,1,3,2,5,1,5,1,5,4,5,2,4,5,5,2,4,5,5,5,5,5,4,3,4,2,4,1,3,3,5,4,4,2,3,2,5,3,2,5,46,30,42,37,33,14.795226431317165,26.384928807169217,16.87236110823851,38.44590142622035,5.180525557423565,low,low,low,low,low
5,1,4,5,4,2,5,2,4,5,5,1,3,2,5,1,5,1,5,5,5,4,4,5,5,2,4,2,5,5,5,5,4,3,4,2,4,1,5,3,5,4,4,2,3,2,4,3,1,5,46,29,39,40,32,14.795226431317165,57.0615192334398,61.20948528622405,70.57756950620531,34.399379124845744,low,high,high,high,low
5,1,4,5,5,2,5,2,5,5,5,1,3,2,5,1,5,1,5,5,5,4,4,5,5,2,4,2,5,5,5,5,4,3,4,2,4,1,5,3,5,4,4,2,3,2,4,3,1,5,46,30,39,40,33,14.795226431317165,26.384928807169217,61.20948528622405,70.57756950620531,5.180525557423565,low,low,high,high,low
5,1,4,5,4,2,5,2,4,5,5,1,3,2,5,1,5,1,5,5,5,2,4,5,5,2,5,2,5,5,5,5,4,3,4,2,4,1,2,3,5,4,4,5,3,2,5,3,1,5,46,29,43,40,32,14.795226431317165,57.0615192334398,78.72458612426762,70.57756950620531,34.399379124845744,low,high,high,high,low
5,1,4,5,4,2,5,2,5,5,5,1,3,2,5,1,5,1,5,5,5,2,4,5,4,2,5,2,5,5,5,5,4,3,4,2,4,1,2,3,5,4,4,3,3,2,5,3,1,5,46,32,43,40,31,14.795226431317165,94.62417059884316,78.72458612426762,70.57756950620531,32.83113751931617,low,high,high,high,low
5,1,4,5,4,2,5,2,4,5,5,1,3,2,5,1,5,1,5,5,5,2,4,5,5,2,4,2,5,5,5,5,4,3,4,2,4,1,3,3,5,4,4,2,3,2,5,3,2,5,46,30,42,40,32,14.795226431317165,26.384928807169217,16.87236110823851,70.57756950620531,34.399379124845744,low,low,low,high,low
5,1,4,5,5,2,5,2,4,5,5,1,3,2,5,1,5,1,5,5,5,2,4,5,5,2,4,2,5,5,5,5,4,3,4,2,4,1,5,3,5,4,4,5,3,2,4,3,1,5,46,26,41,40,33,14.795226431317165,65.1757389881823,17.451969338379914,70.57756950620531,5.180525557423565,low,high,low,high,low
5,1,4,5,4,2,5,2,4,5,5,1,3,2,5,1,5,1,5,5,5,4,4,5,5,2,4,2,5,5,5,5,4,3,4,2,4,1,3,3,5,4,4,5,3,2,5,3,1,5,46,28,40,40,32,14.795226431317165,96.961119466268,58.82614806257208,70.57756950620531,34.399379124845744,low,high,high,high,low
5,1,4,5,4,2,5,2,4,5,5,1,3,2,5,1,5,1,5,4,5,2,4,5,5,2,4,5,5,5,5,5,4,3,4,2,4,1,3,3,5,4,4,2,3,2,4,3,1,5,46,31,41,37,33,14.795226431317165,57.26086112941366,17.451969338379914,38.44590142622035,5.180525557423565,low,high,low,low,low
5,2,4,5,5,2,5,2,4,5,5,1,3,2,5,1,5,1,5,5,5,2,4,5,4,2,4,2,5,5,5,5,4,3,4,2,4,1,5,3,5,4,4,2,3,2,4,3,1,5,46,29,40,40,32,14.795226431317165,57.0615192334398,58.82614806257208,70.57756950620531,34.399379124845744,low,high,high,high,low
5,1,4,5,5,2,5,2,4,5,5,1,3,2,5,1,4,1,5,5,5,2,4,5,4,2,4,2,5,5,5,5,4,3,4,2,4,1,5,3,5,4,4,5,3,2,5,3,1,5,46,26,41,40,32,14.795226431317165,65.1757389881823,17.451969338379914,70.57756950620531,34.399379124845744,low,high,low,high,low
5,2,4,5,4,2,5,2,4,5,5,1,3,2,5,1,5,1,5,4,5,2,4,5,5,2,5,5,5,5,5,5,4,3,4,2,4,1,5,3,5,4,4,5,3,2,4,3,1,5,46,26,41,37,33,14.795226431317165,65.1757389881823,17.451969338379914,38.44590142622035,5.180525557423565,low,high,low,low,low
5,1,4,5,5,2,5,2,4,5,5,1,3,2,5,1,5,1,5,4,5,2,4,5,5,2,4,5,5,5,5,5,4,3,4,2,4,1,3,3,5,4,4,5,3,2,5,3,1,5,46,28,42,37,34,14.795226431317165,96.961119466268,16.87236110823851,38.44590142622035,47.69983680359604,low,high,low,low,low
5,1,4,5,4,2,5,2,4,5,5,1,3,2,5,1,5,1,5,5,5,2,4,5,5,2,4,3,5,5,5,5,4,3,5,2,4,1,2,3,5,4,4,5,3,2,4,3,2,5,46,28,41,39,33,14.795226431317165,96.961119466268,17.451969338379914,39.95918612564645,5.180525557423565,low,high,low,low,low
5,1,4,5,4,2,5,2,4,5,5,1,3,2,5,1,5,1,5,4,5,2,4,5,5,2,4,2,5,5,5,5,4,3,5,2,4,1,5,3,5,4,4,5,3,2,4,3,1,5,46,26,41,40,34,14.795226431317165,65.1757389881823,17.451969338379914,70.57756950620531,47.69983680359604,low,high,low,high,low
5,1,4,5,5,2,5,2,4,5,5,1,3,2,5,1,5,1,5,5,5,2,4,5,5,2,4,5,5,5,5,5,4,3,5,2,4,1,5,3,5,4,4,2,3,2,4,3,1,5,46,29,41,37,34,14.795226431317165,57.0615192334398,17.451969338379914,38.44590142622035,47.69983680359604,low,high,low,low,low
5,1,4,5,4,2,5,2,4,5,5,1,3,3,5,1,5,1,5,5,5,2,4,5,5,2,4,5,5,5,5,5,4,3,4,2,4,1,5,3,5,4,4,5,3,2,5,3,2,5,46,24,42,37,32,14.795226431317165,55.88683998774796,16.87236110823851,38.44590142622035,34.399379124845744,low,high,low,low,low
5,2,4,5,5,2,5,2,4,5,5,1,3,3,5,1,4,1,5,5,5,4,4,5,5,2,4,3,5,5,5,5,4,3,4,2,4,1,5,3,5,4,4,5,3,2,4,3,1,5,46,25,37,39,33,14.795226431317165,35.775960982566446,67.33806671847192,39.95918612564645,5.180525557423565,low,low,high,low,low
