EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,EXT9,AGR9,CSN9,EST9,OPN9,EXT10,AGR10,CSN10,EST10,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_position,EST_position,AGR_position,CSN_position,OPN_position,EXT_high_or_low,EST_high_or_low,AGR_high_or_low,CSN_high_or_low,OPN_high_or_low
5,2,4,5,2,2,5,2,5,2,5,1,2,2,2,2,5,1,5,2,5,2,4,5,3,2,4,2,5,2,5,5,4,2,3,2,4,1,2,2,5,4,4,2,2,2,5,2,2,2,45,33,41,38,28,18.86341633008024,43.820548958428745,17.451969338379914,11.2864545014926,76.34765069075316,low,low,low,low,high
5,1,4,5,2,2,5,2,4,2,5,1,2,2,2,1,5,1,5,2,5,2,4,5,3,2,4,5,5,2,5,5,4,2,3,2,4,1,2,2,5,4,4,3,2,2,4,2,1,2,46,32,41,35,28,14.795226431317165,94.62417059884316,17.451969338379914,63.65201444637811,76.34765069075316,low,high,low,high,high
5,2,4,5,2,2,5,2,5,2,5,1,3,2,2,1,5,1,5,2,5,2,4,2,3,2,4,5,5,2,5,5,4,2,3,2,4,1,2,2,5,4,4,1,2,2,5,2,1,2,46,38,41,36,28,14.795226431317165,3.351090914283969,17.451969338379914,84.74601143852163,76.34765069075316,low,low,low,high,high
5,1,4,5,2,2,5,2,5,2,5,1,3,2,2,2,4,1,5,2,5,2,4,5,3,2,4,4,5,2,5,5,4,2,3,2,4,1,3,2,5,4,4,5,2,2,4,2,1,2,45,30,40,37,28,18.86341633008024,26.384928807169217,58.82614806257208,38.44590142622035,76.34765069075316,low,low,high,low,high
5,1,4,5,2,2,5,2,4,2,5,1,2,2,2,1,5,1,5,2,5,2,4,5,2,2,5,5,5,2,5,5,4,2,3,2,4,1,2,2,5,4,4,2,2,2,4,2,1,2,46,33,42,35,27,14.795226431317165,43.820548958428745,16.87236110823851,63.65201444637811,23.922307874891292,low,low,low,high,low
5,2,4,5,2,2,5,2,5,2,5,1,2,2,2,1,4,1,5,2,5,2,4,2,2,2,4,2,5,2,5,5,4,2,3,2,4,1,2,2,5,4,4,2,2,2,4,2,1,3,46,37,39,38,28,14.795226431317165,72.51416026733875,61.20948528622405,11.2864545014926,76.34765069075316,low,high,high,low,high
5,2,4,2,2,2,5,2,5,2,5,1,2,2,2,1,5,1,5,2,5,2,4,5,3,2,4,5,5,2,5,5,4,2,3,2,4,1,2,2,5,4,4,5,2,2,4,3,1,2,46,34,40,36,28,14.795226431317165,27.09730031585448,58.82614806257208,84.74601143852163,76.34765069075316,low,low,high,high,high
5,2,4,5,2,2,5,2,4,2,5,1,3,2,2,1,4,1,5,2,5,2,4,2,3,2,4,5,5,2,5,5,4,2,3,2,4,1,2,2,5,4,4,2,2,2,4,2,1,2,46,36,39,36,28,14.795226431317165,99.6997067980117,61.20948528622405,84.74601143852163,76.34765069075316,low,high,high,high,high
5,2,4,5,2,2,5,2,5,2,5,1,3,2,2,1,5,1,5,2,5,4,4,2,3,2,5,5,5,2,5,5,4,3,3,2,4,1,3,2,5,4,4,1,2,2,5,2,1,2,46,36,40,36,28,14.795226431317165,99.6997067980117,58.82614806257208,84.74601143852163,76.34765069075316,low,high,high,high,high
5,2,4,5,2,2,5,2,4,2,5,1,2,2,2,1,4,1,5,2,5,2,4,5,3,2,4,5,5,2,5,5,4,2,3,2,4,1,5,2,5,4,4,2,2,2,4,2,1,2,46,30,39,35,28,14.795226431317165,26.384928807169217,61.20948528622405,63.65201444637811,76.34765069075316,low,low,high,high,high
