EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,EXT9,AGR9,CSN9,EST9,OPN9,EXT10,AGR10,CSN10,EST10,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_position,EST_position,AGR_position,CSN_position,OPN_position,EXT_high_or_low,EST_high_or_low,AGR_high_or_low,CSN_high_or_low,OPN_high_or_low
5,2,4,5,2,2,5,2,2,2,5,2,3,2,2,1,2,2,2,2,5,2,4,2,3,2,2,3,5,2,5,2,4,5,2,2,2,2,4,2,5,2,4,5,2,2,2,4,2,3,46,22,31,38,28,14.795226431317165,41.11702373882272,72.65224195615069,11.2864545014926,76.34765069075316,low,low,high,low,high
5,2,4,5,2,2,5,2,2,3,5,2,3,2,2,1,2,2,2,2,5,2,4,2,2,2,2,2,5,2,5,2,4,4,3,2,2,2,5,2,5,2,4,5,2,2,2,4,2,3,46,22,31,39,27,14.795226431317165,41.11702373882272,72.65224195615069,39.95918612564645,23.922307874891292,low,low,high,low,low
5,2,4,5,2,2,5,2,2,2,5,2,4,2,2,2,2,2,2,2,5,2,4,2,3,2,2,3,5,2,5,2,4,5,2,2,2,1,4,2,5,2,4,5,2,2,2,4,2,3,45,22,31,40,28,18.86341633008024,41.11702373882272,72.65224195615069,70.57756950620531,76.34765069075316,low,low,high,high,high
5,2,4,5,2,2,5,2,2,2,5,2,4,2,2,1,2,2,2,2,5,2,4,2,2,2,2,4,5,2,5,2,4,5,3,2,2,1,4,2,5,2,4,5,2,2,2,4,2,3,46,22,31,39,28,14.795226431317165,41.11702373882272,72.65224195615069,39.95918612564645,76.34765069075316,low,low,high,low,high
5,2,4,4,2,2,5,2,2,3,5,2,3,2,2,2,2,2,2,2,5,2,4,2,2,2,2,5,5,3,5,2,4,5,3,2,2,1,4,2,5,2,4,5,2,2,2,4,2,2,45,23,31,37,25,18.86341633008024,26.6900479740304,72.65224195615069,38.44590142622035,15.370796609217988,low,low,high,low,low
5,2,4,5,2,2,5,2,2,2,5,2,4,2,2,1,2,2,2,2,5,2,4,2,3,2,2,4,5,3,5,2,4,5,3,2,2,1,4,2,5,2,4,5,2,2,2,4,2,3,46,22,31,39,28,14.795226431317165,41.11702373882272,72.65224195615069,39.95918612564645,76.34765069075316,low,low,high,low,high
5,2,4,5,2,2,5,2,2,2,5,2,4,2,2,2,2,2,2,2,5,2,4,2,2,2,2,4,5,2,5,2,4,5,3,2,2,2,5,2,5,2,4,5,2,2,2,4,2,3,45,21,31,38,28,18.86341633008024,30.98663404708369,72.65224195615069,11.2864545014926,76.34765069075316,low,low,high,low,high
5,2,4,5,2,2,5,2,2,2,5,2,3,2,2,1,2,2,2,2,5,2,4,2,2,2,2,3,5,2,5,2,4,5,3,2,2,1,5,2,5,2,4,5,2,2,2,4,2,3,46,21,31,39,28,14.795226431317165,30.98663404708369,72.65224195615069,39.95918612564645,76.34765069075316,low,low,high,low,high
5,2,4,5,2,2,5,2,2,2,5,2,4,2,2,1,2,2,2,2,5,2,4,2,3,2,2,3,5,2,5,2,4,4,3,2,2,1,4,2,5,2,4,5,2,2,2,4,2,3,46,23,31,40,29,14.795226431317165,26.6900479740304,72.65224195615069,70.57756950620531,74.38180867314527,low,low,high,high,high
5,2,4,5,2,2,5,2,2,2,5,2,3,2,2,2,2,2,2,2,5,2,4,2,2,2,2,2,4,2,5,2,4,4,3,2,2,1,5,2,5,2,4,5,2,2,2,4,2,2,45,23,31,40,27,18.86341633008024,26.6900479740304,72.65224195615069,70.57756950620531,23.922307874891292,low,low,high,high,low
5,2,4,5,2,2,5,2,2,2,5,2,3,2,2,1,2,2,2,2,5,2,4,2,2,2,2,4,5,2,5,2,4,4,3,2,2,1,4,2,5,2,4,5,2,2,2,4,2,3,46,23,31,38,28,14.795226431317165,26.6900479740304,72.65224195615069,11.2864545014926,76.34765069075316,low,low,high,low,high
5,2,4,5,2,2,5,2,2,2,5,2,3,2,2,1,2,2,2,2,5,2,4,2,3,2,2,4,5,2,5,2,4,5,2,2,2,1,5,2,5,2,4,5,2,2,2,4,2,3,46,21,31,38,28,14.795226431317165,30.98663404708369,72.65224195615069,11.2864545014926,76.34765069075316,low,low,high,low,high
5,2,4,4,2,2,5,2,2,2,5,2,4,2,2,1,2,2,2,2,5,2,4,2,2,2,2,3,5,2,5,2,4,5,3,2,2,2,5,2,5,2,4,5,2,2,2,4,2,2,46,22,31,39,27,14.795226431317165,41.11702373882272,72.65224195615069,39.95918612564645,23.922307874891292,low,low,high,low,low
5,2,4,5,2,2,5,2,2,2,5,2,3,2,2,1,2,2,2,2,5,2,4,2,2,2,2,4,5,2,5,2,4,5,3,2,2,2,4,2,5,2,4,5,2,2,2,4,2,2,46,22,31,37,27,14.795226431317165,41.11702373882272,72.65224195615069,38.44590142622035,23.922307874891292,low,low,high,low,low
5,2,4,4,2,2,5,2,2,2,5,2,3,2,2,1,2,2,2,2,5,2,4,2,3,2,2,4,5,2,5,2,4,4,3,2,2,1,5,2,5,2,4,5,2,2,2,4,2,3,46,23,31,38,29,14.795226431317165,26.6900479740304,72.65224195615069,11.2864545014926,74.38180867314527,low,low,high,low,high
5,2,4,5,2,2,5,2,2,2,5,2,4,2,2,2,2,2,2,2,5,2,4,2,2,2,2,5,5,2,5,2,4,4,3,2,2,1,5,2,5,2,4,5,2,2,2,4,2,3,45,22,31,38,28,18.86341633008024,41.11702373882272,72.65224195615069,11.2864545014926,76.34765069075316,low,low,high,low,high
5,2,4,5,2,2,5,2,2,2,5,2,3,2,2,1,2,2,2,2,5,2,4,2,2,2,2,2,5,3,5,2,4,4,3,2,2,1,5,2,5,2,4,5,2,2,2,4,2,3,46,22,31,40,27,14.795226431317165,41.11702373882272,72.65224195615069,70.57756950620531,23.922307874891292,low,low,high,high,low
5,2,4,5,2,2,5,2,2,2,5,2,3,2,2,1,2,2,2,2,5,2,4,2,2,2,2,3,5,2,5,2,4,5,3,2,2,1,5,2,5,2,4,5,2,2,2,4,2,3,46,21,31,39,28,14.795226431317165,30.98663404708369,72.65224195615069,39.95918612564645,76.34765069075316,low,low,high,low,high
5,2,4,4,2,2,5,2,2,2,5,2,3,2,2,2,2,2,2,2,5,2,4,2,3,2,2,3,5,2,5,2,4,4,2,2,2,1,5,2,5,2,4,5,2,2,2,4,2,3,45,23,31,39,28,18.86341633008024,26.6900479740304,72.65224195615069,39.95918612564645,76.34765069075316,low,low,high,low,high
