EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,EXT9,AGR9,CSN9,EST9,OPN9,EXT10,AGR10,CSN10,EST10,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_position,EST_position,AGR_position,CSN_position,OPN_position,EXT_high_or_low,EST_high_or_low,AGR_high_or_low,CSN_high_or_low,OPN_high_or_low
1,2,4,5,2,5,4,5,5,2,2,1,4,3,2,4,5,1,5,2,2,4,4,2,3,2,4,4,5,2,1,4,4,2,3,4,4,1,1,2,1,4,4,1,5,4,4,4,2,2,18,37,38,37,31,13.51772458710916,72.51416026733875,31.89952932069128,38.44590142622035,32.83113751931617,low,high,low,low,low
1,2,4,2,2,5,4,2,5,2,2,1,4,3,2,4,4,1,5,2,2,4,4,5,3,2,4,4,5,2,1,4,4,2,3,4,4,1,1,2,1,4,4,1,4,4,4,4,2,2,18,37,37,40,30,13.51772458710916,72.51416026733875,67.33806671847192,70.57756950620531,23.34368453554028,low,high,high,high,low
1,1,4,5,2,5,4,2,4,2,2,1,4,2,2,4,4,1,5,2,2,4,4,5,3,2,5,4,5,2,1,4,4,2,3,4,4,1,5,2,1,4,4,1,5,5,4,4,2,2,17,30,39,40,31,56.8825645768269,26.384928807169217,61.20948528622405,70.57756950620531,32.83113751931617,high,low,high,high,low
1,2,4,5,2,5,4,4,5,2,2,1,4,3,2,4,4,1,5,2,2,4,4,2,3,2,4,4,5,2,1,4,4,2,3,4,4,5,5,2,1,4,4,1,4,5,4,4,2,2,17,33,37,34,30,56.8825645768269,43.820548958428745,67.33806671847192,19.967478906101498,23.34368453554028,high,low,high,low,low
1,2,4,5,2,5,4,4,4,2,2,1,4,2,2,4,5,1,5,2,2,4,4,5,3,4,4,4,5,2,1,4,4,2,3,4,4,5,1,2,1,4,4,2,4,4,4,4,2,2,16,33,38,34,30,49.78357024881296,43.820548958428745,31.89952932069128,19.967478906101498,23.34368453554028,low,low,low,low,low
1,2,4,5,2,2,4,5,5,2,2,1,4,3,2,4,4,1,5,2,2,4,4,5,3,4,5,4,5,2,1,4,4,2,3,4,4,1,1,2,1,4,4,2,4,4,4,4,2,2,19,33,38,37,30,96.9716577977251,43.820548958428745,31.89952932069128,38.44590142622035,23.34368453554028,high,low,low,low,low
1,1,4,5,2,4,4,4,4,2,2,1,4,3,2,4,5,1,5,2,2,4,4,2,3,4,4,4,5,2,1,4,4,2,3,5,4,5,1,2,1,4,4,1,4,4,4,4,2,2,16,36,39,34,30,49.78357024881296,99.6997067980117,61.20948528622405,19.967478906101498,23.34368453554028,low,high,high,low,low
1,2,4,2,2,4,4,1,5,2,2,1,4,2,2,4,4,1,5,2,2,4,4,5,3,4,5,5,5,2,1,4,4,2,3,4,4,1,5,2,1,4,4,1,4,4,4,4,2,2,17,34,38,40,30,56.8825645768269,27.09730031585448,31.89952932069128,70.57756950620531,23.34368453554028,high,low,low,high,low
1,2,4,5,2,4,4,2,5,2,2,1,4,3,2,4,4,1,5,2,2,4,4,5,3,2,4,4,5,2,1,4,4,2,3,4,4,1,1,2,1,4,4,2,4,4,4,4,2,2,19,33,37,40,30,96.9716577977251,43.820548958428745,67.33806671847192,70.57756950620531,23.34368453554028,high,low,high,high,low
1,2,4,5,2,4,4,4,5,2,2,1,4,3,2,4,4,1,5,2,2,4,4,5,3,2,4,4,5,2,1,4,4,2,3,4,4,1,5,2,1,4,4,2,4,4,4,4,1,2,19,30,37,38,30,96.9716577977251,26.384928807169217,67.33806671847192,11.2864545014926,23.34368453554028,high,low,high,low,low
1,2,4,5,2,2,4,2,4,2,2,1,4,3,2,4,4,1,5,2,2,4,4,2,2,2,5,4,5,2,1,4,4,2,3,4,4,1,5,2,1,4,4,5,4,4,4,4,2,2,21,28,38,40,29,70.36759078969529,96.961119466268,31.89952932069128,70.57756950620531,74.38180867314527,high,high,low,high,high
1,2,4,5,2,4,4,2,4,2,2,1,4,2,2,4,4,1,5,2,2,4,4,5,2,2,5,4,5,2,1,4,4,2,3,4,4,1,5,2,1,4,4,1,4,4,4,4,2,2,19,30,38,40,29,96.9716577977251,26.384928807169217,31.89952932069128,70.57756950620531,74.38180867314527,high,low,low,high,high
1,2,4,5,2,4,4,2,4,2,2,1,4,3,2,4,4,1,5,2,2,4,4,5,3,4,4,4,5,2,1,4,4,2,3,4,4,1,5,2,1,4,4,2,4,4,4,4,2,2,17,28,37,40,30,56.8825645768269,96.961119466268,67.33806671847192,70.57756950620531,23.34368453554028,high,high,high,high,low
1,2,4,5,2,4,4,1,4,2,2,1,4,3,2,4,4,1,5,2,2,4,4,5,3,4,4,4,5,2,1,4,4,2,3,4,4,1,5,2,1,4,4,5,4,4,4,4,2,2,17,25,37,41,30,56.8825645768269,35.775960982566446,67.33806671847192,91.30045964853188,23.34368453554028,high,low,high,high,low
1,1,4,5,2,4,4,4,5,2,2,1,4,3,2,4,4,1,5,2,2,4,4,5,3,2,5,5,5,2,1,4,4,2,3,4,4,5,5,2,1,4,4,1,4,4,4,4,2,2,19,30,39,33,30,96.9716577977251,26.384928807169217,61.20948528622405,73.79648807641964,23.34368453554028,high,low,high,high,low
1,2,4,5,2,4,4,5,4,2,2,1,4,3,2,4,4,1,5,2,2,4,4,5,3,4,4,4,5,2,1,4,4,2,3,4,4,1,5,2,1,4,4,1,4,5,4,4,2,2,16,29,37,37,30,49.78357024881296,57.0615192334398,67.33806671847192,38.44590142622035,23.34368453554028,low,high,high,low,low
1,1,4,2,2,4,4,2,5,2,2,1,4,3,2,4,4,1,5,2,2,4,4,5,3,2,4,4,5,2,1,4,4,2,3,5,4,1,5,2,1,4,4,5,4,4,4,4,1,2,18,30,38,40,30,13.51772458710916,26.384928807169217,31.89952932069128,70.57756950620531,23.34368453554028,low,low,low,high,low
1,2,4,5,2,4,4,2,4,2,2,1,4,3,2,5,4,1,5,2,2,4,4,5,3,4,4,4,5,2,1,4,4,2,3,4,4,1,5,2,1,4,4,1,4,4,4,4,2,2,16,29,37,40,30,49.78357024881296,57.0615192334398,67.33806671847192,70.57756950620531,23.34368453554028,low,high,high,high,low
1,2,4,5,2,4,4,2,4,2,2,1,4,2,2,4,4,1,5,2,2,4,4,5,3,2,4,4,5,2,1,4,4,2,3,5,4,1,1,2,1,4,4,5,4,4,4,4,1,2,18,31,37,40,30,13.51772458710916,57.26086112941366,67.33806671847192,70.57756950620531,23.34368453554028,low,high,high,high,low
1,2,4,5,2,2,4,4,5,2,2,1,4,3,2,4,4,1,5,2,2,4,4,5,3,4,5,4,5,2,1,4,4,2,3,4,4,1,5,2,1,4,4,2,4,4,4,4,2,2,19,29,38,38,30,96.9716577977251,57.0615192334398,31.89952932069128,11.2864545014926,23.34368453554028,high,high,low,low,low
