EXT1,AGR1,CSN1,EST1,OPN1,EXT2,AGR2,CSN2,EST2,OPN2,EXT3,AGR3,CSN3,EST3,OPN3,EXT4,AGR4,CSN4,EST4,OPN4,EXT5,AGR5,CSN5,EST5,OPN5,EXT6,AGR6,CSN6,EST6,OPN6,EXT7,AGR7,CSN7,EST7,OPN7,EXT8,AGR8,CSN8,EST8,OPN8,EXT9,AGR9,CSN9,EST9,OPN9,EXT10,AGR10,CSN10,EST10,OPN10,EXT_Score,EST_Score,AGR_Score,CSN_Score,OPN_Score,EXT_position,EST_position,AGR_position,CSN_position,OPN_position,EXT_high_or_low,EST_high_or_low,AGR_high_or_low,CSN_high_or_low,OPN_high_or_low
1,2,2,4,4,2,4,2,4,4,2,1,2,2,5,4,4,2,5,5,2,4,2,5,5,2,4,2,5,5,2,4,2,3,4,4,4,2,4,4,1,4,2,5,4,4,4,2,2,5,22,27,37,28,35,89.78559912384115,98.45903986936408,67.33806671847192,55.48786072856311,84.2564222266214,high,high,high,high,high
1,2,2,4,4,2,4,2,4,4,2,1,2,2,5,4,4,2,5,4,2,4,2,2,5,4,4,2,4,5,2,4,2,3,4,4,4,2,4,4,2,4,2,2,4,4,4,2,3,5,21,33,37,28,36,70.36759078969529,43.820548958428745,67.33806671847192,55.48786072856311,47.73568682836604,high,low,high,high,low
1,2,2,5,4,2,4,2,5,4,2,1,2,2,5,4,4,2,5,4,2,4,2,2,4,4,4,2,4,5,2,4,2,3,4,4,4,2,4,4,2,4,2,2,4,4,4,2,2,5,21,34,37,28,35,70.36759078969529,27.09730031585448,67.33806671847192,55.48786072856311,84.2564222266214,high,low,high,high,high
1,2,2,4,4,4,4,2,4,4,2,1,2,2,5,4,4,2,5,5,2,4,2,5,5,4,4,2,5,5,2,4,2,3,4,4,4,2,4,4,1,4,2,2,5,4,4,2,2,5,18,30,37,28,36,13.51772458710916,26.384928807169217,67.33806671847192,55.48786072856311,47.73568682836604,low,low,high,high,low
1,4,2,4,4,2,4,2,4,4,2,1,2,2,5,4,4,2,5,4,2,4,2,3,5,4,4,2,5,5,2,4,2,2,4,4,4,2,4,4,1,4,2,5,5,4,4,2,2,4,20,30,35,28,36,10.625592781144464,26.384928807169217,69.95048953996736,55.48786072856311,47.73568682836604,low,low,high,high,low
1,4,2,4,4,2,4,2,5,4,2,1,2,2,5,4,4,2,5,5,2,4,2,3,4,4,4,2,5,5,2,4,2,3,4,4,4,2,4,4,1,4,2,4,5,4,4,2,2,5,20,31,35,28,35,10.625592781144464,57.26086112941366,69.95048953996736,55.48786072856311,84.2564222266214,low,high,high,high,high
1,2,2,4,4,4,4,2,4,4,2,1,2,2,5,4,4,2,5,4,2,4,2,2,4,2,4,2,5,5,2,4,2,2,4,4,4,2,2,4,1,4,2,4,5,4,4,2,3,5,20,33,37,28,36,10.625592781144464,43.820548958428745,67.33806671847192,55.48786072856311,47.73568682836604,low,low,high,high,low
1,4,2,4,4,4,4,2,4,4,2,1,2,2,5,4,4,2,5,4,2,4,2,4,4,4,4,2,5,5,2,4,2,3,4,4,4,2,3,4,2,4,2,2,5,4,4,2,2,4,19,32,35,28,35,96.9716577977251,94.62417059884316,69.95048953996736,55.48786072856311,84.2564222266214,high,high,high,high,high
1,4,2,4,4,4,4,2,5,4,2,1,2,2,5,4,5,2,5,4,2,4,2,5,4,4,4,2,5,5,2,4,2,2,4,4,4,2,5,4,2,4,2,5,5,4,4,2,2,5,19,28,36,28,36,96.9716577977251,96.961119466268,42.497643648784006,55.48786072856311,47.73568682836604,high,high,low,high,low
1,4,2,4,4,2,4,2,4,4,2,1,2,2,5,4,4,2,5,5,2,4,2,3,5,4,4,2,5,5,2,4,2,3,4,4,4,2,4,4,2,4,2,5,4,4,4,2,3,5,21,28,35,28,35,70.36759078969529,96.961119466268,69.95048953996736,55.48786072856311,84.2564222266214,high,high,high,high,high
1,4,2,4,5,2,4,2,4,4,2,1,2,2,5,4,4,2,5,4,2,4,2,3,5,2,4,2,5,5,2,4,2,3,4,4,4,2,5,4,1,4,2,2,5,4,4,2,3,5,22,30,35,28,38,89.78559912384115,26.384928807169217,69.95048953996736,55.48786072856311,30.8161494512681,high,low,high,high,low
1,2,2,4,4,4,4,2,4,4,2,1,2,2,5,4,4,2,5,5,2,4,2,2,4,4,4,2,4,5,2,4,2,3,4,4,4,2,2,4,1,4,2,5,5,4,4,2,2,5,18,33,37,28,35,13.51772458710916,43.820548958428745,67.33806671847192,55.48786072856311,84.2564222266214,low,low,high,high,high
1,4,2,4,4,4,4,2,4,4,2,1,2,2,5,4,4,2,5,5,2,4,2,2,4,4,4,2,5,5,2,4,2,3,4,4,4,2,4,4,2,4,2,2,4,4,4,2,3,5,19,32,35,28,34,96.9716577977251,94.62417059884316,69.95048953996736,55.48786072856311,47.69983680359604,high,high,high,high,low
1,4,2,4,5,2,4,2,4,4,2,1,2,2,5,4,4,2,5,5,2,4,2,5,4,4,4,2,5,5,2,4,2,2,4,4,4,2,4,4,1,4,2,2,5,4,4,2,2,4,20,31,35,28,35,10.625592781144464,57.26086112941366,69.95048953996736,55.48786072856311,84.2564222266214,low,high,high,high,high
1,2,2,4,5,4,4,2,5,4,2,1,2,2,5,4,4,2,5,5,2,4,2,5,4,4,4,2,5,5,2,4,2,3,4,4,4,2,2,4,1,4,2,4,4,4,4,2,3,5,18,30,37,28,35,13.51772458710916,26.384928807169217,67.33806671847192,55.48786072856311,84.2564222266214,low,low,high,high,high
